model,researchers,on,the,mission,concede,they,still,have,much,to,learn,about,the,dots,',true,nature,but,the,new,data,is,hardening,their,ideas,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fascinating,0.25342196260385497,-1,-1,0.2777345060109553,0.14671270552411075,-1,0.22437026739670796,-1,0.28987492951487326,-1,0.4389305986106007,-1,-1,0.08238686316161747,-1,0.5319958435653642,0.4782904612207929,-1,-1,-1,0.31959199573128183,-1,0.33175162771046884,-1,0.5248659905697276,-1
bright,0.24011910626148236,-1,-1,0.32350220273711305,0.1824694124666706,-1,0.31901419307752543,-1,0.2774084211644121,-1,0.31430492448414427,-1,-1,0.0063344657271565685,-1,0.3249452014606695,0.48315269061419963,-1,-1,-1,0.29044799151514133,-1,-0.04014749704139753,-1,0.2845982516683516,-1
spots,-0.009671066615303259,-1,-1,0.08854705149422892,0.2619879577158366,-1,0.27463660900102527,-1,0.1299087141628471,-1,0.11692107824573794,-1,-1,0.327297201863497,-1,0.2252751216643969,0.21778764064732614,-1,-1,-1,0.09128734969798025,-1,0.12459692132981393,-1,0.20271100998675629,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
surface,0.26688091994370056,-1,-1,0.6241907518114871,0.17434919928480364,-1,0.44103464085469435,-1,0.5136181595688009,-1,0.4200853192701599,-1,-1,0.09613391573505325,-1,0.4666032090694874,0.46168207528582617,-1,-1,-1,0.4441379627716342,-1,0.15609823176535476,-1,0.46928225406564295,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dwarf,-0.06618605742936379,-1,-1,0.09476557228262616,0.07387690196206909,-1,-0.013515360744280835,-1,0.08047274901401569,-1,0.049598133206116946,-1,-1,0.43593057604079655,-1,0.30917388720640937,0.18977550259258336,-1,-1,-1,0.011566835700196232,-1,0.21610553011892197,-1,0.08717920542435742,-1
planet,0.19959198159541502,-1,-1,0.42661780138342975,0.1609973176215631,-1,0.2711013603657493,-1,0.381096721995857,-1,0.30943524078149043,-1,-1,0.2573987288445787,-1,0.5288019588821737,0.49280274055915385,-1,-1,-1,0.30983199083244817,-1,0.19361043885977314,-1,0.39143524824849596,-1
ceres,-0.13675263263248594,-1,-1,-0.15601257380931677,-0.01992875931486715,-1,-0.1254384143043421,-1,-0.167484263658074,-1,-0.08656555322990278,-1,-1,0.18843618829551423,-1,0.009550093266887272,-0.13733213245483777,-1,-1,-1,-0.3424447109127451,-1,0.20242999422085406,-1,-0.16428432157241057,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
come,0.37920149157452143,-1,-1,0.42412764543405124,0.26189334460921887,-1,0.539864958579695,-1,0.5642349138362449,-1,0.5378739775311916,-1,-1,0.03434733688548264,-1,0.6237745718404096,0.32695512695426454,-1,-1,-1,0.40687916209319086,-1,-0.15526551203356154,-1,0.5296891782612527,-1
into,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sharper,0.05075397540463533,-1,-1,0.08127808024226835,-0.021791250195523304,-1,0.17676156654485498,-1,0.4887247267008854,-1,0.321795852170081,-1,-1,0.20472826437436975,-1,0.20839618890070333,0.1390572838386075,-1,-1,-1,0.13764661487388796,-1,0.415402137546545,-1,0.3966466583772563,-1
view,0.4267879620535786,-1,-1,0.4342146977807996,0.20741146106730513,-1,0.42658266215714735,-1,0.3988945552327119,-1,0.42575641906218664,-1,-1,-0.00601848480916245,-1,0.4770831132841309,0.5532664478906096,-1,-1,-1,0.44214323093453367,-1,0.12342199700521572,-1,0.5153479832311001,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
