model,``,dawn,scientists,can,now,conclude,that,the,intense,brightness,of,these,spots,is,due,to,the,reflection,of,sunlight,by,highly,reflective,material,on,the,surface,possibly,ice,'',said,chris,russell,who,is,the,principal,investigator,on,the,mission,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fascinating,-1,0.16376201408647006,0.29420559074536523,-1,-1,0.2986519233068339,-1,-1,0.29518576677527264,0.06930002416341019,-1,0.3869817467120331,0.23059539525066663,-1,-1,-1,-1,0.526703830058099,-1,0.3586453309000719,-1,0.4805877840249614,0.40273714405405403,0.4360936485104512,-1,-1,0.39330808636152614,0.30524354676495524,0.32277233061129884,-1,-1,-0.05529806050655761,0.042413816349738176,-1,-1,-1,0.12041518470365564,-0.019103576562355284,-1,-1,0.2777345060109553,-1
bright,-1,0.11502061979704148,0.27678670362574787,-1,-1,0.19326512799997797,-1,-1,0.2958307711509758,-0.00813965851741627,-1,0.34321123452813695,0.39436952711777273,-1,-1,-1,-1,0.31430176071561844,-1,0.22458089419535288,-1,0.3048752385714948,0.15857990987944004,0.29455027063594286,-1,-1,0.3833958290495574,0.35027172580782673,0.17303548362561172,-1,-1,0.2693369273245245,0.26014904255160587,-1,-1,-1,0.20601483866231385,0.07459222570711599,-1,-1,0.32350220273711305,-1
spots,-1,-0.011321587997100258,0.05797495688780374,-1,-1,0.14173613973432142,-1,-1,0.15966054237487493,0.1209593484009246,-1,0.30858013440604104,1.0,-1,-1,-1,-1,0.20483799798538216,-1,0.1814620070932037,-1,0.2502837665745048,0.16306928312729108,0.19917207157441752,-1,-1,0.3182801452830405,0.28932238577025915,0.28427657768358394,-1,-1,-0.11333489074072256,-0.06706189025381781,-1,-1,-1,0.10309141902472596,0.047930694069662216,-1,-1,0.08854705149422892,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
surface,-1,0.23022980470009746,0.3334100821205477,-1,-1,0.2920283184449993,-1,-1,0.3176869771396742,0.21305849500253116,-1,0.45631066814146104,0.3182801452830405,-1,-1,-1,-1,0.4666696534503534,-1,0.49039532445417566,-1,0.29915162437863163,0.4103509329772874,0.5555564333416209,-1,-1,1.0,0.48813752550951084,0.770362603192834,-1,-1,0.1722968162689742,0.18187510156546804,-1,-1,-1,0.1482680015586062,0.008595843088365362,-1,-1,0.6241907518114871,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dwarf,-1,-0.013867143576908214,0.02253221813974926,-1,-1,0.009904291503457174,-1,-1,0.0056666139263165105,0.27477105183454587,-1,-0.05939667661861625,0.3102538196136281,-1,-1,-1,-1,0.22810192014804498,-1,0.2145365040777123,-1,0.010175982294473251,0.2527827338957309,0.010489210675672656,-1,-1,0.2520109135246985,0.06958384194962253,0.1600938500789928,-1,-1,-0.05166870658513645,0.17691837122099574,-1,-1,-1,0.032584389045037354,-0.14591842452062687,-1,-1,0.09476557228262616,-1
planet,-1,0.14568919857124007,0.31316871908415034,-1,-1,0.1705624331480713,-1,-1,0.19963021692538918,0.19727374121863994,-1,0.28295364599922357,0.3945085122961016,-1,-1,-1,-1,0.4459921676494999,-1,0.3498263471176857,-1,0.22691481071100705,0.28251591076847027,0.2939031630926614,-1,-1,0.6185336624136597,0.3348748823877028,0.5269936047064798,-1,-1,0.11843210093382761,0.2947285819209293,-1,-1,-1,0.16847580365904946,0.02104187506450461,-1,-1,0.42661780138342975,-1
ceres,-1,0.1070317173990537,-0.09032574809498684,-1,-1,-0.11883216375335492,-1,-1,-0.16573184169147148,-0.0249411540903135,-1,-0.3013159915625572,0.1577278755365612,-1,-1,-1,-1,0.12160133327072642,-1,-0.08625150299194817,-1,-0.1617898779340674,0.048019442932831446,-0.24581336888951166,-1,-1,0.05923626433898954,-0.17120268872293765,0.052016866619277624,-1,-1,-0.21242145144632918,-0.11025230765994043,-1,-1,-1,0.016270877721467958,-0.12261623268522381,-1,-1,-0.15601257380931677,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
come,-1,0.16678938066792548,0.45781242374175823,-1,-1,0.34975819694572663,-1,-1,0.4726467489119185,-0.08228475928917733,-1,0.6220998350353083,0.16729767478163393,-1,-1,-1,-1,0.2297327852473665,-1,0.2235855117563159,-1,0.22681628173558277,-0.03597872202242347,0.353689304185243,-1,-1,0.4545194431413726,0.5534095049455233,0.371550446541264,-1,-1,0.2638005488108548,0.19376423610688154,-1,-1,-1,0.040810643076818254,-0.04626390718788054,-1,-1,0.42412764543405124,-1
into,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sharper,-1,-0.03924167719475702,0.0745165280670792,-1,-1,0.1083575636271954,-1,-1,0.3427689213035956,0.22372613687662835,-1,0.12969546420503997,0.04022347758469136,-1,-1,-1,-1,0.3717182974265456,-1,0.46925876625952845,-1,0.26542027397299117,0.3608263929757519,0.21434739671242942,-1,-1,0.38602676902025723,0.19584231646682182,0.1681311477788079,-1,-1,-0.20615540130434473,-0.08610320491645362,-1,-1,-1,-0.03065321018161682,-0.09486644651777065,-1,-1,0.08127808024226835,-1
view,-1,0.14053806934446456,0.4219711213939732,-1,-1,0.3782144628953341,-1,-1,0.29818959116201116,0.06946157820913801,-1,0.45663894101844726,0.18930771995354756,-1,-1,-1,-1,0.4177139059676829,-1,0.2082928960274879,-1,0.3337329277264639,0.21614800991237182,0.4288240320391259,-1,-1,0.46434769953366817,0.4047391946077632,0.367336116177742,-1,-1,0.2218302738289355,0.2395998817813032,-1,-1,-1,0.3411268678676207,0.19539767852466816,-1,-1,0.4342146977807996,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
