model,with,a,diameter,of,950km,ceres,is,the,largest,object,in,the,main,asteroid,belt,between,mars,and,jupiter,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fascinating,-1,-1,-0.04431929277203461,-1,-0.3704563321953418,-0.028268674092176926,-1,-1,0.1685092920011172,0.3863684166722957,-1,-1,0.2502191609265507,0.1873024864539028,0.10801433016772699,0.14250125273520797,0.21694380711721695,-1,0.329111450947872,-1
bright,-1,-1,0.6199581822858882,-1,-0.44089799445074584,-0.09925833244489723,-1,-1,0.19718708103297644,0.21085742896052273,-1,-1,0.18038067372979005,-0.002885019656202026,0.005294460594742478,0.15218240052997833,0.31046691494419476,-1,0.2368118972854487,-1
spots,-1,-1,0.19941407152193524,-1,-0.32121034755914457,0.1577278755365612,-1,-1,0.2689099207672301,0.23573146470898443,-1,-1,0.3335014423457512,0.0355146949706,0.2051094880741543,0.17464881195860626,0.14491158546803717,-1,0.2603861345291183,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
surface,-1,-1,0.20598525323114303,-1,-0.5472498601326286,0.05923626433898954,-1,-1,0.36331854557953713,0.5059355600241937,-1,-1,0.37594769857749255,0.30627458414719244,0.38157223745860236,0.2863744571850646,0.6746507448203042,-1,0.5178089487493557,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dwarf,-1,-1,0.1565040991726958,-1,-0.13247824281604603,0.3730340114489106,-1,-1,0.11072927213421346,0.09602157806024803,-1,-1,0.14720288402288717,0.24808191886850506,0.1949455875687791,0.04049257755835545,0.27606501461694266,-1,0.511194700599246,-1
planet,-1,-1,0.09225450551082492,-1,-0.4445504957602979,0.22841262394356354,-1,-1,0.35852125910551513,0.3323585598077291,-1,-1,0.3881954698785346,0.33625653257525756,0.4056351764561341,0.17561814705611067,0.4938136990085209,-1,0.5660615564560778,-1
ceres,-1,-1,0.016505484357981604,-1,0.1342540444349325,1.0,-1,-1,-0.1270650266567861,-0.035233644150737486,-1,-1,-0.04081157592091533,0.07850550999769024,-0.04175770703441439,-0.19422039144337466,0.24107622318267374,-1,0.4669546203136632,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
come,-1,-1,-0.022449379329447128,-1,-0.5134463340654629,-0.17495274987562892,-1,-1,0.2377826668664772,0.2973682428045301,-1,-1,0.2869136906524681,0.017600051429509045,0.28064523332158586,0.312811898752793,0.22919944524266167,-1,0.09280861018245101,-1
into,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sharper,-1,-1,-0.0943776626313313,-1,-0.23180688421959128,-0.09385127278389138,-1,-1,-0.014279490378502846,0.2278909878682851,-1,-1,0.12470513418149087,0.13131158223976724,0.020207022834285104,-0.041941943784665536,0.1891943327421316,-1,0.22772017242636444,-1
view,-1,-1,0.044019947953280125,-1,-0.48253225242686404,-0.049440299685891365,-1,-1,0.2969269573617146,0.38652591895284916,-1,-1,0.48392341310800846,0.1743614820029642,0.3919231635939565,0.38231292845217,0.3256962045107348,-1,0.2740479299870413,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
