model,dawn,will,spend,the,coming,months,studying,its,geology,and,surface,chemistry,with,a,suite,of,cameras,and,remote-sensing,instruments,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fascinating,0.16376201408647006,-1,0.24258376599093068,-1,0.31906927564606546,0.1575588384206471,0.2624418520678218,-1,0.3225025444043048,-1,0.39330808636152614,0.15795360723069551,-1,-1,0.2627135465040742,-1,0.25647552375398597,-1,-0.2439936819787787,0.33925491964382015,-1
bright,0.11502061979704148,-1,0.19582173337496422,-1,0.3041763954809569,0.21617825449543426,0.2672760461491509,-1,0.1309604713048529,-1,0.3833958290495574,0.3157786741104518,-1,-1,0.09763381237050361,-1,0.6780370643249742,-1,-0.4363442881174553,0.308473992516052,-1
spots,-0.011321587997100258,-1,0.2173023179203888,-1,0.24673337862138012,0.24238671563435976,0.15190142547996377,-1,0.09783460684033096,-1,0.3182801452830405,0.132418460440349,-1,-1,0.22044017886977807,-1,0.3713546624968471,-1,-0.18207589383668377,0.36540911180581137,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
surface,0.23022980470009746,-1,0.375360523023768,-1,0.48666153606207463,0.30832915835340247,0.30309729705769173,-1,0.24644775089092064,-1,1.0,-0.04283557573626151,-1,-1,0.19677284020788843,-1,0.32056972961589425,-1,-0.5381284966871189,0.5014768761724957,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dwarf,-0.013867143576908214,-1,0.07710538842636405,-1,0.033376191612321304,-0.14081321650572232,0.002896759979601926,-1,0.2624103706984098,-1,0.2520109135246985,-0.005869781564326493,-1,-1,0.0744564262279942,-1,0.10684287230772305,-1,-0.012484778678790054,0.13189554587632246,-1
planet,0.14568919857124007,-1,0.34548484827342296,-1,0.36013787618730086,0.16075632649247829,0.2531375615318141,-1,0.32708428065051476,-1,0.6185336624136597,0.06286676829501814,-1,-1,0.09646087159173733,-1,0.2667101279147579,-1,-0.37370515563318785,0.32624946853662795,-1
ceres,0.1070317173990537,-1,-0.16916545694560048,-1,-0.18391182436514963,-0.22543194020129165,0.05781273624127459,-1,0.2563054856352015,-1,0.05923626433898954,-0.037833196830039606,-1,-1,0.16780432839645154,-1,-0.17199945323948107,-1,0.23880691579271462,-0.11194828739686402,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
come,0.16678938066792548,-1,0.467175964214152,-1,0.8124790617714754,0.5693113587227588,0.25032663868591976,-1,-0.0800849900782592,-1,0.4545194431413726,0.0468270315341065,-1,-1,-0.014684389371811601,-1,0.3226364178517356,-1,-0.5767954079840596,0.24793422141865895,-1
into,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sharper,-0.03924167719475702,-1,0.30793150584797035,-1,0.2856269425942508,0.0519867472688178,0.15663324336741602,-1,0.2632096000687365,-1,0.38602676902025723,0.05421561322038215,-1,-1,0.15263299308475764,-1,0.1671764888921592,-1,-0.09151307116644802,0.1865890952098883,-1
view,0.14053806934446456,-1,0.3689019802767278,-1,0.3513462138969634,0.2947699417392976,0.34943449570970087,-1,0.2940837499610347,-1,0.46434769953366817,0.13284999455207225,-1,-1,0.18966518116233433,-1,0.33962552713810457,-1,-0.49268057145333044,0.3380777038423224,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
