model,having,completed,its,first,science,orbit,dawn,is,now,heading,downwards,to,get,even,closer,to,the,body,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fascinating,0.17997395752406997,0.21396052018455147,-1,-1,0.3240465418665852,0.3717389781896685,0.16376201408647006,-1,-1,0.2536558297504933,0.15969129741768717,-1,0.27465621634384196,0.2576380552259405,0.29763602493065155,-1,-1,0.11883339614271637,-1
bright,0.3444232602936925,0.2851998377879781,-1,-1,0.13613341217156438,0.4625996398568769,0.11502061979704148,-1,-1,0.22718281965305376,0.06024419644398338,-1,0.30665695640932156,0.3144218061955659,0.17887821405777904,-1,-1,0.35387399923034657,-1
spots,0.2711431928989705,0.09637141575520924,-1,-1,0.05444936476498796,0.3084032914777972,-0.011321587997100258,-1,-1,0.24317137604938277,0.06561608568718047,-1,0.2801957815597593,0.22008975723380275,0.140166196071419,-1,-1,0.14091821931698956,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
surface,0.39129810015663324,0.3139213753677955,-1,-1,0.4223400807097015,0.41716465603880115,0.23022980470009746,-1,-1,0.46378239754622064,0.26323187052953356,-1,0.43759382669574387,0.48578264532161075,0.37772219445890176,-1,-1,0.49319432179454936,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dwarf,-0.1796938347196957,-0.09073960331680464,-1,-1,0.06372844463713023,0.31682216685513853,-0.013867143576908214,-1,-1,0.015480778536194006,0.09989670913037985,-1,-0.00981993117938651,-0.0031409198894838397,0.02418173679163116,-1,-1,-0.012398414825608661,-1
planet,0.1606031306962883,0.1191696677744859,-1,-1,0.41634227700931736,0.5011742787196788,0.14568919857124007,-1,-1,0.3255007235589792,0.07960539894965069,-1,0.3334659400936244,0.33192340982851243,0.24418359956378632,-1,-1,0.29505432510821894,-1
ceres,-0.237168632255498,-0.16975761982651516,-1,-1,-0.13964608460739347,0.06421243621300265,0.1070317173990537,-1,-1,-0.1299252729879441,0.09860124760272826,-1,-0.23258074791608596,-0.2326161032955223,-0.14766239389327973,-1,-1,-0.1890840006390837,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
come,0.612287267408456,0.2885933456793861,-1,-1,0.2893621049545567,0.35590623550266964,0.16678938066792548,-1,-1,0.4809450570909548,0.11604103766409324,-1,0.6155780232963389,0.633604048506681,0.473865462516174,-1,-1,0.4221849073231567,-1
into,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sharper,0.06572454014627138,0.06685588739797999,-1,-1,0.08259666410930944,0.3596486708591351,-0.03924167719475702,-1,-1,0.3069980797135967,0.4980873804281205,-1,0.3172033548625697,0.29975216493626533,0.49589795634365297,-1,-1,0.02531248850836021,-1
view,0.4008336909963235,0.26104391107586566,-1,-1,0.44487740168021506,0.296613852905834,0.14053806934446456,-1,-1,0.30074572834968305,0.061166193775095246,-1,0.42512145487819075,0.4627531147288686,0.3536869176154662,-1,-1,0.4882320268770297,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
