model,police,said,he,was,taken,to,hospital,after,a,row,on,a,garage,forecourt,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
man,0.5232531036891375,-1,-1,-1,0.5625811956136171,-1,0.38626630578096877,-1,-1,0.34320477243232816,-1,-1,0.26435739235289457,-0.08334373632612468,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eye,0.34442731286887596,-1,-1,-1,0.5368332304695529,-1,0.4002678550602533,-1,-1,0.3417439082829664,-1,-1,0.4987099885246731,0.11212106317819281,-1
socket,-0.057737253222382545,-1,-1,-1,0.03879621858706905,-1,0.03730783682659622,-1,-1,0.017764507350309655,-1,-1,0.37707183687443213,0.3938829300156792,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
broken,0.2139101401024095,-1,-1,-1,0.47224611022871676,-1,0.18250915650301636,-1,-1,0.3749287106389998,-1,-1,0.3554306633902301,-0.029849492567013858,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.46593955536109943,-1,-1,-1,0.5714663458414265,-1,0.3926261050092301,-1,-1,0.4905615603108562,-1,-1,0.25043720132476843,-0.12515636505479977,-1
other,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
people,0.41004992282203934,-1,-1,-1,0.5069787192346946,-1,0.3106662996245567,-1,-1,0.2610687246165473,-1,-1,0.18296074610958324,-0.18011443382389802,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
received,0.46536884624952135,-1,-1,-1,0.5723673721654169,-1,0.44305145799315226,-1,-1,0.275576755312269,-1,-1,0.13080933492916857,-0.28206701690138924,-1
minor,0.2611565979168491,-1,-1,-1,0.39683745244709956,-1,0.5173277610070012,-1,-1,0.2127525066538407,-1,-1,0.16333052167371986,-0.07475686594904096,-1
injuries,0.32447338882847643,-1,-1,-1,0.5080615833790355,-1,0.566597080500006,-1,-1,0.2888959542610353,-1,-1,0.23150666373941864,-0.09293034590580462,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.46593955536109943,-1,-1,-1,0.5714663458414265,-1,0.3926261050092301,-1,-1,0.4905615603108562,-1,-1,0.25043720132476843,-0.12515636505479977,-1
assaults,0.23469970564458265,-1,-1,-1,0.3747939992939866,-1,0.19653940019335492,-1,-1,0.30464049075119715,-1,-1,0.08407139993325008,-0.010141573799237857,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ballycastle,0.09918488919117074,-1,-1,-1,0.09771556824908423,-1,0.26600431846390293,-1,-1,-0.005975645255481554,-1,-1,0.3336380743948042,0.4715160254887445,-1
county,0.5189495224784428,-1,-1,-1,0.5256975919977667,-1,0.5191125072443441,-1,-1,0.3111374089335819,-1,-1,0.3270488259390256,0.11889891898331006,-1
antrim,0.4277309942405654,-1,-1,-1,0.3717091768747508,-1,0.4571531588503731,-1,-1,0.22217515160237833,-1,-1,0.3332844004233474,0.2360361284391993,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
