model,a,short,time,later,another,man,and,a,woman,were,assaulted,in,licensed,premises,on,castle,street,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
man,-1,0.48524771913366804,-1,0.5115098597092416,0.6993455155361663,1.0,-1,-1,0.8923874062772581,-1,0.5305435669904325,-1,0.17688771480419585,0.2197751546950657,-1,0.20465046926699526,0.41234405228366233,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eye,-1,0.5484535847170532,-1,0.33621791707039494,0.5412367008915869,0.5285627765432684,-1,-1,0.5230823960985296,-1,0.4025930019483479,-1,0.3281319742902067,0.4002022137864367,-1,0.21106088131203726,0.2952472555468739,-1
socket,-1,0.10855013440981942,-1,-0.14891589741493694,0.01853819122584166,0.1376867144252394,-1,-1,0.1222518796596247,-1,0.18491441559560617,-1,0.1189283435530466,0.04623679565647654,-1,0.04142222045825095,-0.04846817650260449,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
broken,-1,0.45134867673819556,-1,0.3322625931468315,0.41899549402403635,0.3446495726987202,-1,-1,0.3512174283388495,-1,0.2660842275437071,-1,0.32992981032434954,0.3031909111131246,-1,0.10033773538833202,0.13838901950768034,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,-1,0.49910814246727875,-1,0.6435901486756163,0.6088831363410349,0.4541021220375572,-1,-1,0.47072257761665814,-1,0.45649596003608517,-1,0.28196607040559196,0.4364942475975959,-1,0.1958082082461583,0.3361534008583189,-1
other,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
people,-1,0.3867913131148044,-1,0.41208945217633164,0.503828912667507,0.43635751475834894,-1,-1,0.4634956444951287,-1,0.3446494580196531,-1,0.2803288812774848,0.36082850648954223,-1,0.13216156498633636,0.3207723345010025,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
received,-1,0.4757690525995363,-1,0.52034910775398,0.5151956161417021,0.3578025781401646,-1,-1,0.39831602974675406,-1,0.3156969152598912,-1,0.1694356838972243,0.28156556813344724,-1,0.06679277701566921,0.24920850217892276,-1
minor,-1,0.31830983595184614,-1,0.2971548695785944,0.41199167049368335,0.3721058189488984,-1,-1,0.3827456440021779,-1,0.332375242220202,-1,0.29497058438281964,0.23754762400374285,-1,0.09590736170894942,0.10845151807053288,-1
injuries,-1,0.38524010671526254,-1,0.43551255599572614,0.4324676571726932,0.4228611765448995,-1,-1,0.43182758904827,-1,0.35381680340601784,-1,0.23973606855601037,0.29377904917013764,-1,0.11250051949357609,0.18371053613627186,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,-1,0.49910814246727875,-1,0.6435901486756163,0.6088831363410349,0.4541021220375572,-1,-1,0.47072257761665814,-1,0.45649596003608517,-1,0.28196607040559196,0.4364942475975959,-1,0.1958082082461583,0.3361534008583189,-1
assaults,-1,0.22703055802934968,-1,0.2622938277484492,0.2896382730709366,0.2711776555473908,-1,-1,0.33153294231563535,-1,0.38303471407136735,-1,0.12921123473975915,0.17509936407320792,-1,0.0013632292738995355,0.12427766917500505,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ballycastle,-1,-0.06631353466307877,-1,-0.0065955479258339444,-0.1258124398403515,0.11367361012924737,-1,-1,0.09562708890534999,-1,-0.015337837486107064,-1,0.13662756614512572,0.20841507918855318,-1,0.5070564913947397,0.19877753376496243,-1
county,-1,0.2965930014534891,-1,0.42083460031020326,0.38709291406679336,0.4894598242467604,-1,-1,0.41417639534841133,-1,0.20070294519396592,-1,0.17806380946630795,0.36084792801830756,-1,0.5034775938868767,0.3984823844433425,-1
antrim,-1,0.16748479494441648,-1,0.29382823417075943,0.260592728786909,0.4926727436850743,-1,-1,0.3953062013445102,-1,0.16144371715124473,-1,0.18040094247913552,0.29807082102509197,-1,0.5494161501693889,0.39240153757560803,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
