model,they,caution,that,overall,the,genes,play,a,smaller,role,in,risk,than,more,established,factors,such,as,high,blood,pressure,and,obesity,.
researchers,-1,0.2435864398282651,-1,0.24119132390353226,-1,0.48149071569670276,0.20125573224294213,-1,0.39754449216983057,0.17623929998173138,-1,0.3464148057436305,-1,-1,0.4711469127176824,0.2835534063895726,0.35829007008251046,-1,0.26842886312813197,0.27619839627010856,0.2348854712829016,-1,0.11773919065869953,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
identified,-1,0.35094117440972794,-1,0.3044229660689397,-1,0.477366440289541,0.31372236059641734,-1,0.4826588789447538,0.3741354957936688,-1,0.5305445585058246,-1,-1,0.7409863106438206,0.4737466084242221,0.5607339133092255,-1,0.33927982461922856,0.23476632379980733,0.27462097453509093,-1,0.24921126842610442,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gene,-1,0.20653307015456035,-1,0.033612024069366364,-1,0.46054051488198566,0.015213242209076938,-1,0.17127961733659514,0.06593026340285568,-1,0.08000002272508344,-1,-1,0.2767318331895733,0.2574694961659205,0.22889645623380217,-1,-0.04701344149962927,0.19542055706132333,0.008671755615118126,-1,0.21203399951549928,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
may,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
put,-1,0.35561168326563763,-1,0.4815920595598717,-1,0.2521385981293387,0.5280723104542746,-1,0.46591639979694266,0.36651145129714957,-1,0.5418011017834049,-1,-1,0.5256706558112985,0.35797964638262225,0.5119843079327916,-1,0.43752470944661626,0.4243122729226251,0.6506142252402911,-1,0.10343489500848158,-1
people,-1,0.40762424113899165,-1,0.251682000160266,-1,0.3883865810993702,0.35366384148384933,-1,0.5740778405905727,0.2682016248034673,-1,0.5274754156440419,-1,-1,0.3500070134609031,0.28822131091010994,0.46246186417672686,-1,0.3218247579869351,0.284545394804551,0.3810150043001188,-1,0.24705700724903001,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greater,-1,0.3268733339549422,-1,0.47958061329482815,-1,0.25711615870147186,0.41542933775977287,-1,0.6039184165767167,0.4045124671670657,-1,0.6595318455961747,-1,-1,0.41174352857292384,0.33963653382534775,0.5282962779145992,-1,0.5764327224783051,0.35003299796959,0.5940972357281192,-1,0.4071798625829186,-1
risk,-1,0.32865628123198254,-1,0.5326288188562543,-1,0.46064886972028285,0.2895644913087687,-1,0.5493734554293943,0.3303143735947882,-1,1.0,-1,-1,0.4138598974022988,0.6157082054176711,0.6169687604950826,-1,0.5747869567887195,0.5087570041356906,0.5552629968046817,-1,0.6007483576452514,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strokes,-1,0.21945579326760456,-1,0.22443148673552538,-1,0.38550535650140616,0.19580319696536608,-1,0.38600998483477755,0.044888756739231095,-1,0.3304802344071359,-1,-1,0.1937255947809815,0.44108606004871787,0.26682368496048436,-1,0.07974168818111993,0.265487248139085,0.2530504654734915,-1,0.17261870723184503,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heart,-1,0.22722172577625122,-1,0.381456632221866,-1,0.2601345357536564,0.28499891552478507,-1,0.2716293745594939,0.24871772410606807,-1,0.6059226118954395,-1,-1,0.342162269714116,0.2874581595558936,0.40555038811821853,-1,0.3737281145967778,0.4823915282362209,0.4093548453334368,-1,0.44061454983598236,-1
attacks,-1,0.21626830601017077,-1,0.22704238854431325,-1,0.34436620001068574,0.2292585590369236,-1,0.3403298711108893,0.2573446568669986,-1,0.3406713442853905,-1,-1,0.354814539332321,0.37817910074479066,0.4721542873088792,-1,0.274127685174155,0.21396704930786237,0.30481911933992545,-1,0.3546584301617406,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
