model,platelets,help,trigger,the,formation,of,clots,to,stop,bleeding,after,injury,.
researchers,-0.26710603581103043,-1,0.11700607095720195,-1,0.2449558370776027,-1,-0.05521675886835031,-1,0.27884803910082867,0.06557729231177789,-1,0.13627538902848846,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
identified,-0.43778938233430087,-1,0.27121482283426124,-1,0.3017802658299873,-1,-0.2546281893521831,-1,0.4342675155421235,0.32472434730928457,-1,0.3903002522080794,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gene,-0.3375376001780199,-1,0.31971227187674134,-1,0.43717959771950854,-1,0.05408890658361998,-1,0.09899664536955544,0.1955367273194577,-1,0.07037958948381096,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
may,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
put,-0.32275838927215617,-1,0.23874960193898986,-1,0.34042290876168924,-1,0.027903633071576395,-1,0.5858652561954003,0.1558033741201571,-1,0.452172535459918,-1
people,-0.19013012345113878,-1,0.26381054860163067,-1,0.29898530309453253,-1,-0.129381646933721,-1,0.6139572785687993,0.20467480777649927,-1,0.2635511437846241,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greater,-0.27074522559920355,-1,0.14686670347109854,-1,0.3024822938764433,-1,0.005609899075013414,-1,0.4204905653487294,0.1568433223807123,-1,0.2565883517842489,-1
risk,-0.19313166989002317,-1,0.21622654553770881,-1,0.34942243585877386,-1,0.16552195824108362,-1,0.5121683063390509,0.35905602061824904,-1,0.40918985009120634,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strokes,0.057584577158761974,-1,0.13019472060831805,-1,0.259518794899962,-1,0.16434375919910993,-1,0.3008472140777404,0.3623056287802995,-1,0.4176042975744385,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heart,-0.26289301378565844,-1,0.08205784035554453,-1,0.36888282071261325,-1,0.15927967222926542,-1,0.4335854144985065,0.4632516394237969,-1,0.6394877862735673,-1
attacks,-0.2412152041814788,-1,0.20501676237159727,-1,0.2685832146675342,-1,-0.05609249583679343,-1,0.4095136767890746,0.2255877049206232,-1,0.2732115726954063,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
