model,both,thrombotic,strokes,-lrb-,the,most,common,kind,-rrb-,and,heart,attacks,are,caused,by,blockage,of,blood,vessels,in,the,heart,and,brain,-,ultimately,through,the,formation,of,clots,.
researchers,0.4394864267161016,-0.427497819545517,0.16353603427808505,-1,-1,-1,0.28452965085293425,0.379196895686555,-1,-1,0.31706183761023377,0.2820726261815927,-1,0.22256182795516144,-1,-0.085535769834572,-1,0.27619839627010856,0.31815234180984864,-1,-1,0.31706183761023377,-1,0.3152699154306646,-1,0.42017707513094393,0.2535582741136029,-1,0.2449558370776027,-1,-0.05521675886835031,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
identified,0.6437212851871652,-0.5188851897612707,0.3223377371875613,-1,-1,-1,0.4615149372894358,0.49545412213227247,-1,-1,0.3912629739437574,0.45111125537816976,-1,0.4795714079774622,-1,-0.018168537974089904,-1,0.23476632379980733,0.26939637820679363,-1,-1,0.3912629739437574,-1,0.41686686769497217,-1,0.46546564761962794,0.3645090395620587,-1,0.3017802658299873,-1,-0.2546281893521831,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gene,0.016442008557004617,-0.3094959456835167,0.09082911340758704,-1,-1,-1,0.16687055220583535,0.2441754683777958,-1,-1,0.1807476673605689,0.07953914725340994,-1,0.19141183889033053,-1,0.3063395387880854,-1,0.19542055706132333,0.22410975747939277,-1,-1,0.1807476673605689,-1,0.326631709375665,-1,0.25428553000278353,0.09955730929269879,-1,0.43717959771950854,-1,0.05408890658361998,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
may,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
put,0.6527433668838889,-0.5627505595902249,0.2644274774365605,-1,-1,-1,0.409585172090578,0.49679562665912136,-1,-1,0.4682820600011677,0.2989922412235433,-1,0.349406388898577,-1,-0.09882620288308952,-1,0.4243122729226251,0.28626337697618487,-1,-1,0.4682820600011677,-1,0.29056474590145853,-1,0.5834132019885485,0.669246441776263,-1,0.34042290876168924,-1,0.027903633071576395,-1
people,0.522382482396541,-0.514721871900601,0.27021435660577975,-1,-1,-1,0.4953125514431518,0.5171405165002957,-1,-1,0.3911320830428988,0.4481347877595221,-1,0.3781498694073633,-1,-0.12362275277580137,-1,0.284545394804551,0.2673202333311211,-1,-1,0.3911320830428988,-1,0.2741151353844161,-1,0.3979847865917798,0.43833322530558605,-1,0.29898530309453253,-1,-0.129381646933721,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greater,0.4831192359831209,-0.5511680627883973,0.06251951342346085,-1,-1,-1,0.5025639453735429,0.41843518640244337,-1,-1,0.3006832336215832,0.2965369770919315,-1,0.4493281546900829,-1,0.12421093318543641,-1,0.35003299796959,0.23419452833843857,-1,-1,0.3006832336215832,-1,0.20564092368425713,-1,0.42008008271609265,0.4188545378214883,-1,0.3024822938764433,-1,0.005609899075013414,-1
risk,0.46386511397209185,-0.4370154567756177,0.3304802344071359,-1,-1,-1,0.6087466092232866,0.5024715495986883,-1,-1,0.6059226118954395,0.3406713442853905,-1,0.5623583239776577,-1,0.22122927487897082,-1,0.5087570041356906,0.2729263614287928,-1,-1,0.6059226118954395,-1,0.46310298622924184,-1,0.496499689382377,0.41356386301481574,-1,0.34942243585877386,-1,0.16552195824108362,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strokes,0.43016343061776197,-0.2293987910005557,1.0,-1,-1,-1,0.3629081885100651,0.22939168446647173,-1,-1,0.5210923592039197,0.5361165286888425,-1,0.3434369374674522,-1,0.19345361260392635,-1,0.265487248139085,0.38802946703414276,-1,-1,0.5210923592039197,-1,0.4046261668212312,-1,0.20491458176508737,0.31450976596101843,-1,0.259518794899962,-1,0.16434375919910993,-1
