model,in,a,second,study,published,in,the,same,journal,the,scientists,show,pia2,is,also,linked,to,an,increased,risk,of,heart,attacks,in,people,under,45,.
researchers,-1,-1,0.20283506545688668,0.7571495367859383,0.4845781268172866,-1,-1,0.3962183974664071,0.3990444942773943,-1,0.9296687336460632,0.41961851329389266,-0.40814296936050676,-1,-1,0.4477458395693654,-1,-1,0.28916265433398736,0.3464148057436305,-1,0.31706183761023377,0.2820726261815927,-1,0.3569333962453183,0.17231285194245372,0.2572997830316436,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
identified,-1,-1,0.2939050527898531,0.5875191121630344,0.5644747255375405,-1,-1,0.572169281492006,0.24928202488163176,-1,0.5986821475293229,0.39776582154054374,-0.5491659093443193,-1,-1,0.7830592990541193,-1,-1,0.47388842202717796,0.5305445585058246,-1,0.3912629739437574,0.45111125537816976,-1,0.47396806198706154,0.3852107655891922,0.3825433333534266,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gene,-1,-1,0.08821819036209777,0.3327975781054978,0.2459968290077169,-1,-1,0.20803430002767165,0.29695651651067057,-1,0.35008657282326516,0.1816552123245634,-0.36823233316801396,-1,-1,0.16981759173576405,-1,-1,-0.032847409186095966,0.08000002272508344,-1,0.1807476673605689,0.07953914725340994,-1,0.04311093890285145,0.021946388905785152,0.022712798925694555,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
may,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
put,-1,-1,0.5472329357278466,0.45958762279294696,0.3692771989528887,-1,-1,0.5849992423647857,0.09315691697740403,-1,0.4332470332168501,0.5254699277394017,-0.5497174746953792,-1,-1,0.4473536916960301,-1,-1,0.44147060692448314,0.5418011017834049,-1,0.4682820600011677,0.2989922412235433,-1,0.5249546246258143,0.5840303876473175,0.42495551593250247,-1
people,-1,-1,0.30116501518291394,0.4408752163133747,0.2862131732858937,-1,-1,0.49403105923528545,0.03450840011917544,-1,0.46521162981266784,0.49532304604695976,-0.5018577926086214,-1,-1,0.5582371742907589,-1,-1,0.4049984502865156,0.5274754156440419,-1,0.3911320830428988,0.4481347877595221,-1,1.0,0.3627508042977792,0.5169132441040611,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greater,-1,-1,0.3265901633939574,0.4752235562446775,0.23109434617872293,-1,-1,0.49329334918391365,0.14127285134675127,-1,0.37731432096710615,0.44723190939097424,-0.5844122677543608,-1,-1,0.46839363974265324,-1,-1,0.6930364702862213,0.6595318455961747,-1,0.3006832336215832,0.2965369770919315,-1,0.517713415348805,0.3958494790019902,0.2811422265957535,-1
risk,-1,-1,0.29441363135014,0.5298837853156168,0.2331974068900834,-1,-1,0.534003673255428,0.21130741720607804,-1,0.38737695403948824,0.26331317718097913,-0.5821016360147144,-1,-1,0.5869359002040394,-1,-1,0.67764674546742,1.0,-1,0.6059226118954395,0.3406713442853905,-1,0.5274754156440419,0.4148047160478179,0.20586480225528037,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strokes,-1,-1,0.2709721216906864,0.13235499964813313,0.04382245715161981,-1,-1,0.2280035724932279,-0.05541044729505051,-1,0.180562982703785,0.10184130611680398,-0.33623929049133516,-1,-1,0.37191924533583587,-1,-1,0.19933389510239574,0.3304802344071359,-1,0.5210923592039197,0.5361165286888425,-1,0.27021435660577975,0.24498504949145516,0.2939945582766852,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heart,-1,-1,0.35199615176199317,0.3793057536364237,0.23763517962620684,-1,-1,0.4854081769854297,0.2634214520437823,-1,0.33912215782524924,0.318860782414342,-0.5117024205113472,-1,-1,0.3793318755735615,-1,-1,0.35962732520837415,0.6059226118954395,-1,1.0,0.43168709844679654,-1,0.3911320830428988,0.39632925348942316,0.34733697923682305,-1
attacks,-1,-1,0.20366311029107875,0.37499053751652056,0.3277800494261205,-1,-1,0.33218133844166764,0.13408781437412176,-1,0.32522299801607013,0.39718189304034734,-0.45308152383676825,-1,-1,0.5728751831437267,-1,-1,0.37119617695661244,0.3406713442853905,-1,0.43168709844679654,1.0,-1,0.4481347877595221,0.34873348962312356,0.3519718574638675,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
