model,but,how,significant,this,increase,is,depends,on,an,individual,'s,baseline,risk,-,influenced,by,factors,such,as,smoking,diet,weight,and,exercise,the,scientists,say,.
researchers,-1,0.5047386899495929,0.23732621621278316,-1,0.2975365193893491,-1,0.20967443387800433,-1,-1,0.3352397889882456,-1,0.10198779196974517,0.3464148057436305,-1,0.2751356905313528,-1,0.2835534063895726,0.35829007008251046,-1,0.09658685451822746,0.08909487566415997,0.18070131134186274,-1,0.20035945921326093,-1,0.9296687336460632,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
identified,-1,0.5132241031533252,0.4938147222772489,-1,0.39611951180714233,-1,0.2023176461902041,-1,-1,0.505713427491475,-1,0.11569630637219908,0.5305445585058246,-1,0.5394895020464074,-1,0.4737466084242221,0.5607339133092255,-1,0.29172748703046114,0.1090899025420371,0.35673097591035563,-1,0.2950490672297488,-1,0.5986821475293229,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gene,-1,0.21182314222934284,0.10165756415871008,-1,0.06477760093196394,-1,0.14146479033931636,-1,-1,0.17403127264346507,-1,0.18993457841723949,0.08000002272508344,-1,0.1666860676714832,-1,0.2574694961659205,0.22889645623380217,-1,0.10683074440863782,0.19582075279793232,0.2068940105438245,-1,0.15465092038399098,-1,0.35008657282326516,-1,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
may,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
put,-1,0.5123908014866105,0.48831889102276227,-1,0.4191950919365076,-1,0.25722142222124056,-1,-1,0.46881208281804865,-1,0.12149147698763496,0.5418011017834049,-1,0.24492525496993078,-1,0.35797964638262225,0.5119843079327916,-1,0.2513948678141549,0.17720955183019527,0.50812039455206,-1,0.32031723959547986,-1,0.4332470332168501,-1,-1
people,-1,0.5067183674196883,0.3498376192908672,-1,0.4151193266204861,-1,0.2934486916738447,-1,-1,0.47959888453967237,-1,-0.00917651502879635,0.5274754156440419,-1,0.3079545895081588,-1,0.28822131091010994,0.46246186417672686,-1,0.41100927228953976,0.2774590555306723,0.41412311342322994,-1,0.4211635949035546,-1,0.46521162981266784,-1,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greater,-1,0.4877241158797505,0.6435937266705147,-1,0.6638833255847166,-1,0.32576291784099976,-1,-1,0.44659215813757047,-1,0.1499314716290121,0.6595318455961747,-1,0.14511894766654143,-1,0.33963653382534775,0.5282962779145992,-1,0.3243729194650229,0.2705367011951214,0.4049452910293537,-1,0.42954798337496314,-1,0.37731432096710615,-1,-1
risk,-1,0.45984953992396327,0.700551610909703,-1,0.6089094855627065,-1,0.2839595200172891,-1,-1,0.5649309319887621,-1,0.30351951832426705,1.0,-1,0.29467158152728856,-1,0.6157082054176711,0.6169687604950826,-1,0.5075284531987334,0.3222898157833387,0.48902112920765695,-1,0.40181060968515425,-1,0.38737695403948824,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strokes,-1,0.08169653873681659,0.13248104898858082,-1,0.13188487618790234,-1,0.032830613044928736,-1,-1,0.2578181913683629,-1,0.24208246704383196,0.3304802344071359,-1,0.19379097623279717,-1,0.44108606004871787,0.26682368496048436,-1,0.19534624190176597,0.1450639798203669,0.4148005825708845,-1,0.230398472393594,-1,0.180562982703785,-1,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heart,-1,0.34782591226789716,0.36983918154077966,-1,0.3105250689095479,-1,0.15589394524253286,-1,-1,0.3848598072336282,-1,0.2212683502630829,0.6059226118954395,-1,0.19534369196986912,-1,0.2874581595558936,0.40555038811821853,-1,0.2581130404612013,0.2815795016943946,0.5807696478881487,-1,0.36118584855593416,-1,0.33912215782524924,-1,-1
attacks,-1,0.2762371240968695,0.3121295648585025,-1,0.38362694166881006,-1,0.16593361684845742,-1,-1,0.2641952002299627,-1,0.13016425352763217,0.3406713442853905,-1,0.25262819908798506,-1,0.37817910074479066,0.4721542873088792,-1,0.30342628259006355,0.12458192503983101,0.25933221138682194,-1,0.23908164462779535,-1,0.32522299801607013,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
