model,he,has,blotchy,skin,and,a,shaved,head,.
police,-1,-1,-0.4887474758690309,0.10985968993504014,-1,-1,-0.03883502755028334,0.27273051000522974,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1
released,-1,-1,-0.44516629777768624,0.18023051294203685,-1,-1,-0.021663063299473206,0.26478697220275094,-1
cctv,-1,-1,-0.26417093641406364,0.30550568536079026,-1,-1,0.016507188003076934,0.07440760277540315,-1
images,-1,-1,-0.26765695812117096,0.3908428928116944,-1,-1,0.004220437092981477,0.17881325526859582,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1
man,-1,-1,-0.45085234048519185,0.24208976959259698,-1,-1,0.12990691927465114,0.33557502585817267,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1
want,-1,-1,-0.5044455806457955,0.23248314602462916,-1,-1,-0.043598579551174854,0.2841692399436152,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1
speak,-1,-1,-0.4690691439333352,0.18115820725235487,-1,-1,0.013570979521320359,0.23194166085669643,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1
following,-1,-1,-0.554550379925276,0.18288813550013294,-1,-1,0.047870179545519864,0.4651487106115608,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1
racist,-1,-1,-0.19577331709183143,0.3272490727606243,-1,-1,0.08226282549679831,0.2114115332639095,-1
assault,-1,-1,-0.37392021134765296,0.27023596454419563,-1,-1,0.03001639224227015,0.2587099614879518,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1
glasgow,-1,-1,-0.6709077649264013,0.035372542463386725,-1,-1,0.07624474991779562,0.4193593502011599,-1
bus,-1,-1,-0.34367387035610086,0.2603890228399096,-1,-1,0.14794696801998297,0.2225994821324908,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
