model,he,was,wearing,a,hooded,black,body-warmer,with,a,blue,zip-top,underneath,.
police,-1,-1,0.27815672418875015,-1,0.0002778061717630953,0.4199993311220902,-0.4573272912527391,-1,-1,0.19066528674499705,-0.5064135490037134,0.13964820998697314,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
released,-1,-1,0.1900478285563958,-1,-0.062310620430186425,0.26655599461971835,-0.4804019519975842,-1,-1,0.17456440968425668,-0.4912222768749446,0.17662039873676627,-1
cctv,-1,-1,0.342546855698892,-1,0.021172824714111305,0.27377160118320876,-0.3884481662696597,-1,-1,0.3109032882399909,-0.32173248321356485,0.4001747641497413,-1
images,-1,-1,0.26866455496989383,-1,-0.004487559562694754,0.4051560220448468,-0.4022538551560153,-1,-1,0.24001763435403922,-0.41111290854081206,0.2970348234640281,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
man,-1,-1,0.4370543890280063,-1,0.2451358765172431,0.6270633647250894,-0.5510848023731161,-1,-1,0.38511278125128223,-0.5598612254235058,0.2625827944342194,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
want,-1,-1,0.26095820290021665,-1,0.019400578009010627,0.3928891068732371,-0.49656616855600566,-1,-1,0.19736880065441365,-0.527913250581594,0.23023429236464754,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
speak,-1,-1,0.28780695044321525,-1,0.030622729239160318,0.3691330251124545,-0.47185686870044474,-1,-1,0.16896405397288095,-0.5035845436256092,0.20410885100449627,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
following,-1,-1,0.04509271871317022,-1,0.004026687237793647,0.23342036443093217,-0.5223163353612084,-1,-1,0.05884092136092678,-0.5872457850800488,0.14587443540937417,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
racist,-1,-1,0.3650962416463086,-1,-0.01867567222243971,0.3497884988079125,-0.4305418252700779,-1,-1,0.239689529844053,-0.4040933123743038,0.2775415514730699,-1
assault,-1,-1,0.21483603026984843,-1,0.04186158298842191,0.3394267875803454,-0.4601443439163191,-1,-1,0.16235668113721213,-0.4957456761378878,0.13317868116233678,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
glasgow,-1,-1,0.19121371429195588,-1,0.11276950071849035,0.3809925689741842,-0.5243115470449946,-1,-1,0.27223658610331625,-0.5698590723618042,0.07622635560997437,-1
bus,-1,-1,0.23783450509721504,-1,0.03528148726562774,0.39758027176411903,-0.430033110263214,-1,-1,0.2918375014822234,-0.42221855481201587,0.29417752243022177,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
