model,the,disturbance,happened,at,about,20:00,on,20,december,.
police,-1,0.4213881343207416,0.4796579926406581,-1,-1,-1,-1,0.42420120814032747,0.3923295773269724,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
released,-1,0.1610805096108141,0.33789817265307853,-1,-1,-1,-1,0.4878355328845194,0.5608001282165571,-1
cctv,-1,0.3105757088562334,0.3180193314921489,-1,-1,-1,-1,0.2606881033203804,0.2010718456584606,-1
images,-1,0.22530027612052406,0.2979592981728254,-1,-1,-1,-1,0.39915583029031576,0.26853141028779004,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
man,-1,0.3381793924498504,0.4567065883894941,-1,-1,-1,-1,0.4386688067393264,0.3339668407683606,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
want,-1,0.18017835960694484,0.49974475836114085,-1,-1,-1,-1,0.4089929531276213,0.2608813653556947,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
speak,-1,0.28693158047950873,0.40020502447683515,-1,-1,-1,-1,0.3480569744482198,0.23022908382227059,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
following,-1,0.4762183988925841,0.47705524626264695,-1,-1,-1,-1,0.5084579658273759,0.605390560868268,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
racist,-1,0.510531901178083,0.37834588904607025,-1,-1,-1,-1,0.14708836226239919,0.13378997583649088,-1
assault,-1,0.4961417652553467,0.4591295871484271,-1,-1,-1,-1,0.3898866096080784,0.3789873714245905,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
glasgow,-1,0.3203677352784957,0.42002665037665476,-1,-1,-1,-1,0.49780919132616397,0.5525441613777016,-1
bus,-1,0.24873393383409204,0.3337333127378632,-1,-1,-1,-1,0.3669675875602263,0.32004189796219695,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
