model,inside,mbalala,the,town,that,lost,its,girls,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,0.5453914089248839,-0.031703572740190644,-1,0.2569694996461962,-1,0.47831540378256054,-1,0.5749110676393532,-1
nigerian,0.2516317950708248,-0.3703165243902089,-1,0.32096294787097746,-1,0.2795132173596553,-1,0.3686884539786215,-1
schoolgirls,0.08551272561366274,0.009741755233342086,-1,0.14565712543395648,-1,0.13377593977427205,-1,0.3805232938457017,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,0.4886798373759631,-0.038871610323336636,-1,0.21636849212251263,-1,0.4227957172090948,-1,0.5031320455751047,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,0.3300486865124943,-0.24604489067852353,-1,0.18282481281082663,-1,0.31840272874181375,-1,0.21504452264793783,-1
two,0.5791794237488717,-0.13407391289150183,-1,0.38392905549795286,-1,0.6410382985804505,-1,0.6666718126045049,-1
years,0.45577518957939245,-0.2623634923961873,-1,0.3088731960648622,-1,0.5900586813841757,-1,0.5646542837781698,-1
ago,0.5010177186611564,-0.1864579477387147,-1,0.31504097664855435,-1,0.5859895702786654,-1,0.5288822182710885,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,0.18099905923381332,-0.33135994469463337,-1,0.09893694818145427,-1,0.23375856925901795,-1,0.24286202793699962,-1
reunion,0.20816553199250898,-0.15391890084408644,-1,0.21152823492477224,-1,0.0354939297439697,-1,0.1243767077144573,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,0.44967948522644985,-0.22139076252471246,-1,0.2552369833472735,-1,0.5554425156104483,-1,0.5626766221973133,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
