model,i,never,thought,i,would,ever,see,you,again,wipe,your,tears,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,-1,0.4026398147951864,0.5063217661948257,-1,-1,0.35467078314366807,0.41271408863599524,-1,0.44836575285349944,0.15222565832423562,0.31522051445938826,0.2998820851467163,-1
nigerian,-1,0.12830895592023306,0.25257143633901946,-1,-1,0.1702479077051705,0.16694595136086865,-1,0.1233570484649249,-0.057825578629086216,0.018781614638147315,-0.009022845677592928,-1
schoolgirls,-1,-0.05758932728216193,0.09521550853794247,-1,-1,0.04586428326075098,-0.07919123254849669,-1,-0.08981496010535772,-0.0008485531598847462,-0.2565521250660667,-0.0002729650209336576,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,0.33258520935303804,0.4187977206976905,-1,-1,0.27074950158710465,0.24757170209343493,-1,0.25950378778912,0.15692610591010792,0.09147171361988671,0.2857642744618849,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,-1,0.2965579490425765,0.2957414168114716,-1,-1,0.24949540880217946,0.43626418371160347,-1,0.3082902477165572,0.3482962064007158,0.34583708552399406,0.23328222718240532,-1
two,-1,0.4113786404218083,0.5113448345161079,-1,-1,0.3543202800538304,0.4715884936908279,-1,0.4619330906790935,0.06353009146425759,0.28073888923933166,0.2599942600123841,-1
years,-1,0.4783004539919703,0.5364872482935088,-1,-1,0.4091184856317144,0.5020879824513431,-1,0.4746919924198678,0.030563691082959976,0.26617646362548175,0.25852439411729544,-1
ago,-1,0.49290754929454983,0.5735983148240295,-1,-1,0.39408507333264575,0.47832752761463393,-1,0.49694302586184347,0.02249306015270347,0.20464309299530015,0.275032090828746,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,-1,0.355290492602788,0.38425909961887106,-1,-1,0.271719119606592,0.36373989700779363,-1,0.2900410087649461,0.003555974926004568,0.3454115176614534,0.3042367740879617,-1
reunion,-1,0.08384717346370696,0.10716096337023617,-1,-1,0.16045445828061777,0.17202613219153695,-1,0.07663176021754281,-0.05338894250300985,0.21859340737367772,0.13202412462959967,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,0.4982244481484722,0.5789870566250488,-1,-1,0.3017619180779867,0.42655620062435884,-1,0.3743403890475653,0.1049100972992072,0.501507041573131,0.3691897870585732,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
