model,i,instantly,recognised,her,and,insisted,we,should,take,her,to,her,parents,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,-1,0.2776009804609968,0.24244314776175624,-1,-1,0.2593083339202058,-1,0.3196775204394431,0.24276433092800098,-1,-1,-1,0.4833110897579106,-1
nigerian,-1,0.06786614730046947,0.40409202458221005,-1,-1,0.40796330431287586,-1,0.2902702281371019,0.2020340088539978,-1,-1,-1,0.30534834383693343,-1
schoolgirls,-1,0.3074157998480991,0.11473814742834176,-1,-1,-0.0948652523739113,-1,-0.08060752378990799,-0.07722392824513435,-1,-1,-1,0.06082818912507737,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,0.4247505110964873,0.36082310721319766,-1,-1,0.17505140310904443,-1,0.29577054772335876,0.1698076683575067,-1,-1,-1,0.4097430364578327,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,-1,0.36151501784284523,0.38028295555620306,-1,-1,0.162307183318825,-1,0.30101781404783445,0.3454627041280802,-1,-1,-1,0.29998040383017965,-1
two,-1,0.17732425907620852,0.3664036594787581,-1,-1,0.32389310594606935,-1,0.45614489244306644,0.4711606196540501,-1,-1,-1,0.4454313842593609,-1
years,-1,0.2070752343827027,0.4029668756224233,-1,-1,0.2906686761341162,-1,0.4662857154325277,0.501210563441821,-1,-1,-1,0.41545819447805177,-1
ago,-1,0.26071146012347235,0.3939008806014861,-1,-1,0.33824664540250304,-1,0.4142775445567005,0.4450034668024718,-1,-1,-1,0.4005493015027438,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,-1,0.27450181892116277,0.278989537554698,-1,-1,0.19484026261116483,-1,0.23930167281833303,0.26555113815322307,-1,-1,-1,0.351925629410236,-1
reunion,-1,0.16767875360952844,0.1964940027618689,-1,-1,0.006572474160271069,-1,-0.02376704776366756,0.0916039707162859,-1,-1,-1,0.18318433589089633,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,0.34258473376481713,0.34260889658544824,-1,-1,0.40261760540655234,-1,0.4060412651317138,0.3685693755050312,-1,-1,-1,0.7542738199643941,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
