model,``,when,we,arrived,at,the,house,...,i,asked,the,mother,to,come,and,identify,someone,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,-1,-1,-1,0.4117191586155613,-1,-1,0.3775027934691094,0.4743752465841147,-1,0.37343676523403835,-1,0.5621046654512176,-1,0.45986559841608576,-1,0.33474605001874624,0.5114982777179915,-1
nigerian,-1,-1,-1,0.3063862131004417,-1,-1,0.32681333623699604,0.19283507230253383,-1,0.3430099544801197,-1,0.2993030141439649,-1,0.2188131935316997,-1,0.20854500739206316,0.19905962078124517,-1
schoolgirls,-1,-1,-1,0.19095941083961465,-1,-1,-0.03572247552122598,-0.17830884860073115,-1,-0.07114776933305778,-1,-0.0019422977339638159,-1,-0.08602329870742631,-1,-0.0597085175291332,-0.06231722571647191,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,-1,-1,0.5096813638867385,-1,-1,0.2712220464109958,0.27876472887327286,-1,0.303421777242566,-1,0.42489805056836705,-1,0.29869245218419205,-1,0.2853895196746401,0.3606790386140123,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,-1,-1,-1,0.26512750691191656,-1,-1,0.19502619549622546,0.43351111285221444,-1,0.2657307691054809,-1,0.25469077710096544,-1,0.36177635134001873,-1,0.5488519318584343,0.4274526866411028,-1
two,-1,-1,-1,0.45436063839188323,-1,-1,0.3925229746443739,0.5079817767465253,-1,0.3818649522730755,-1,0.475669214179655,-1,0.45826287394594334,-1,0.3769473561897905,0.40652407121909184,-1
years,-1,-1,-1,0.4084647084096482,-1,-1,0.4164693730346317,0.5415671498812049,-1,0.3920835285446337,-1,0.45644752616458883,-1,0.5242404074619773,-1,0.24533160734804826,0.45622890208368583,-1
ago,-1,-1,-1,0.5046044713462395,-1,-1,0.4587353098588045,0.5321454139218296,-1,0.37995121372789975,-1,0.4633329125383159,-1,0.4851797458500815,-1,0.20138752742306099,0.43320347996993047,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,-1,-1,-1,0.2450879486003792,-1,-1,0.1826081186622962,0.5120597547163868,-1,0.24321057082852193,-1,0.3456986806491237,-1,0.2755282533630041,-1,0.23136761567061837,0.35882150141943914,-1
reunion,-1,-1,-1,0.2532760183396552,-1,-1,0.15319316511130343,0.18784233787462212,-1,0.013893289220519245,-1,0.2376082356457252,-1,0.10420376267421261,-1,0.05192061508228585,0.12630146632792827,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,-1,-1,0.41952830981464273,-1,-1,0.4767416083338021,0.5103464329869987,-1,0.5246962523176903,-1,1.0,-1,0.37860391166429774,-1,0.3279590225080975,0.6051819119732005,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
