model,she,was,with,a,suspected,boko,haram,fighter,who,is,now,in,the,nigerian,military,'s,custody,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,-1,-1,-1,-1,0.45034652962356503,0.25753367272640637,0.2525906397242069,0.3099395706274437,-1,-1,-1,-1,-1,0.28955372184536166,0.2627808106162475,-1,0.471465678682057,-1
nigerian,-1,-1,-1,-1,0.41081744851455726,0.4790863776935871,0.4686251466486897,0.4500017198395805,-1,-1,-1,-1,-1,1.0,0.6319204632444875,-1,0.18569864683613346,-1
schoolgirls,-1,-1,-1,-1,0.16633106509788598,0.2714623182249116,0.25504081324246464,0.12726797329819262,-1,-1,-1,-1,-1,0.24721203999941477,-0.0382143560262842,-1,0.1560474736829367,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,-1,-1,-1,0.48458492106985696,0.2293348735352414,0.1966651026890105,0.3169020308611157,-1,-1,-1,-1,-1,0.3362031510019785,0.2409950476583439,-1,0.355115230543939,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,-1,-1,-1,-1,0.34391017225918774,0.11650932543456838,0.10541966892482912,0.11249041751627809,-1,-1,-1,-1,-1,0.20364204936690755,0.2706316567618161,-1,0.17699274769786388,-1
two,-1,-1,-1,-1,0.4917296307191379,0.1211328583420963,0.10598060028585166,0.3591112101326833,-1,-1,-1,-1,-1,0.37394482530034034,0.40882415707731123,-1,0.3807600207229719,-1
years,-1,-1,-1,-1,0.37357543701465135,0.13035669103327063,0.1480372056340752,0.13007778230777145,-1,-1,-1,-1,-1,0.29781367305399886,0.3468172806688641,-1,0.31800303607371017,-1
ago,-1,-1,-1,-1,0.364430476338342,0.14417643089914423,0.16302851533114648,0.16081047516393843,-1,-1,-1,-1,-1,0.32535759337788184,0.3376760283045477,-1,0.26325874486362455,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,-1,-1,-1,-1,0.1831526048851292,-0.12416092149628732,-0.11792494720526392,0.14968599970649032,-1,-1,-1,-1,-1,0.05218991275492424,0.15902051828133967,-1,0.1452747884962532,-1
reunion,-1,-1,-1,-1,0.11562131216542537,-0.06529406863900178,-0.04676983426717318,0.038707319604248336,-1,-1,-1,-1,-1,0.1569087433884221,0.08937345444934541,-1,0.21115132171158257,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,-1,-1,-1,0.36866954869191526,0.12806785153493272,0.1584602806424068,0.2802759981718448,-1,-1,-1,-1,-1,0.2993030141439649,0.21197372640885193,-1,0.291841947878162,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
