model,``,the,mother,called,the,attention,of,other,relations,to,come,out,and,see,what,is,happening,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,-1,-1,0.5621046654512176,0.3348902042019485,-1,0.21619865585963582,-1,-1,0.163800791752166,-1,0.45986559841608576,-1,-1,0.41271408863599524,-1,-1,0.3802128010806558,-1
nigerian,-1,-1,0.2993030141439649,0.4142315192031262,-1,0.2181346256329677,-1,-1,0.3579267504016499,-1,0.2188131935316997,-1,-1,0.16694595136086865,-1,-1,0.06936719515571199,-1
schoolgirls,-1,-1,-0.0019422977339638159,-0.1564749592664969,-1,-0.06986890737935392,-1,-1,-0.07828412212701408,-1,-0.08602329870742631,-1,-1,-0.07919123254849669,-1,-1,-0.0952058986136699,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,-1,0.42489805056836705,0.35247703027616306,-1,0.26346980157989597,-1,-1,0.14523973130228252,-1,0.29869245218419205,-1,-1,0.24757170209343493,-1,-1,0.24623359221578922,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,-1,-1,0.25469077710096544,0.2326822908356656,-1,0.37481488633702353,-1,-1,0.10613510127931669,-1,0.36177635134001873,-1,-1,0.43626418371160347,-1,-1,0.3303492439291522,-1
two,-1,-1,0.475669214179655,0.3950958287355436,-1,0.24842785131710876,-1,-1,0.41536925662961965,-1,0.45826287394594334,-1,-1,0.4715884936908279,-1,-1,0.2956764206363385,-1
years,-1,-1,0.45644752616458883,0.38585922088596947,-1,0.2418448551130028,-1,-1,0.35599327948295545,-1,0.5242404074619773,-1,-1,0.5020879824513431,-1,-1,0.38377664673098044,-1
ago,-1,-1,0.4633329125383159,0.41111129656871226,-1,0.1811875843081182,-1,-1,0.2969223776800679,-1,0.4851797458500815,-1,-1,0.47832752761463393,-1,-1,0.3960227138286059,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,-1,-1,0.3456986806491237,0.35331093834210814,-1,0.44678536104427935,-1,-1,0.2828087265651229,-1,0.2755282533630041,-1,-1,0.36373989700779363,-1,-1,0.3115240004297575,-1
reunion,-1,-1,0.2376082356457252,0.2122526823866261,-1,0.13031661331630007,-1,-1,0.18979481737366943,-1,0.10420376267421261,-1,-1,0.17202613219153695,-1,-1,0.24297024977850423,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,-1,1.0,0.47006365086820057,-1,0.17821823372719692,-1,-1,0.12646095231715526,-1,0.37860391166429774,-1,-1,0.42655620062435884,-1,-1,0.2507268103656036,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
