model,``,the,moment,this,girl,was,discovered,by,our,vigilantes,she,was,brought,to,my,house,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,-1,-1,0.3528912960320706,-1,0.5590621724756853,-1,0.4674034070695565,-1,-1,0.11410140842214744,-1,-1,0.38788248076902243,-1,0.336025468241546,0.3775027934691094,-1
nigerian,-1,-1,0.1709433188704833,-1,0.33084242936923225,-1,0.2820317246406525,-1,-1,0.13079065334351392,-1,-1,0.31038691624253,-1,0.0731884623319572,0.32681333623699604,-1
schoolgirls,-1,-1,-0.13562041884122222,-1,0.11414716161310856,-1,0.13732799672259444,-1,-1,0.31532123320598515,-1,-1,-0.07183728645066911,-1,-0.18230407036265017,-0.03572247552122598,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,-1,0.22312478031134997,-1,0.40720163804363585,-1,0.48202001576658215,-1,-1,0.25363702905565866,-1,-1,0.3774451258890239,-1,0.1769502877582837,0.2712220464109958,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,-1,-1,0.3193067204875393,-1,0.17105216723519812,-1,0.33117867213720276,-1,-1,0.3677742661354799,-1,-1,0.33545842823827154,-1,0.2219736828231701,0.19502619549622546,-1
two,-1,-1,0.36642256938996376,-1,0.44585444470318514,-1,0.5042751224826867,-1,-1,0.16615417416432832,-1,-1,0.5173212139212868,-1,0.3832206150236248,0.3925229746443739,-1
years,-1,-1,0.3858387682829596,-1,0.42225934743631255,-1,0.4475718115388758,-1,-1,0.01854810445365873,-1,-1,0.5138553180251884,-1,0.4371558426471278,0.4164693730346317,-1
ago,-1,-1,0.3979921044662832,-1,0.425225337687135,-1,0.5389437670330849,-1,-1,0.037923275775334164,-1,-1,0.4752810893237913,-1,0.4024378906466475,0.4587353098588045,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,-1,-1,0.5097654553702102,-1,0.294479950431064,-1,0.2470429224919698,-1,-1,-0.12906364769671508,-1,-1,0.32538677176411523,-1,0.3603194189667076,0.1826081186622962,-1
reunion,-1,-1,0.3113015236688943,-1,0.2913566174991453,-1,0.30563469138458355,-1,-1,-0.13770213206527782,-1,-1,0.049109943063759265,-1,0.1835137091640232,0.15319316511130343,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,-1,0.36686965074773403,-1,0.6666922432707062,-1,0.47211693119259523,-1,-1,0.009138045794856664,-1,-1,0.42029377282386504,-1,0.6282762242691378,0.4767416083338021,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
