model,amina,ali,nkeki,19,was,found,with,a,baby,by,an,army-backed,vigilante,group,on,tuesday,in,the,huge,sambisa,forest,close,to,the,border,with,cameroon,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,0.00013266253816746065,0.2077809311836859,-0.13032958869230127,0.49804072482258444,-1,-1,-1,-1,0.5393454930986544,-1,-1,-0.2408731581658281,-0.017743109319436234,-1,-1,0.48929752346049393,-1,-1,0.22942453246454952,-0.2235607599923075,0.1962162690272674,0.36450276769939793,-1,-1,0.23025522427457445,-1,0.07204368007833173,-1
nigerian,0.09270227662985209,0.36578298202175064,-0.18906761497275926,0.17541417228730494,-1,-1,-1,-1,0.19890719804098878,-1,-1,-0.05343431333929938,0.19753968624704088,-1,-1,0.2965903453626022,-1,-1,0.19407589405956838,0.007189729997576055,0.3850848639686075,0.23807332857541685,-1,-1,0.5267308441354676,-1,0.27607520932706986,-1
schoolgirls,-0.06945630546704273,0.08925292641021287,-0.09832027186762105,0.21209975855046004,-1,-1,-1,-1,0.079849916924423,-1,-1,-0.11605708603009646,0.05563443526888645,-1,-1,-0.04625208409024539,-1,-1,-0.09140671179866344,0.18579279103045632,0.166652793346159,-0.06213985105174791,-1,-1,0.03081899811312816,-1,0.23409457811412826,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-0.08559767389079198,0.20956202695321569,-0.12332484151378531,0.38278283234788657,-1,-1,-1,-1,0.3655155494351634,-1,-1,-0.11908050310838414,0.04342248358664391,-1,-1,0.3294546595590606,-1,-1,0.22933937110068348,-0.17534186003338803,0.1858770958185788,0.29607363076491944,-1,-1,0.2990586065773333,-1,0.08212641350458783,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,0.0010733594697285298,0.12072266371596063,-0.28993833723972173,0.15726644807955203,-1,-1,-1,-1,0.21802465053131814,-1,-1,-0.12458051968188655,0.12338428143109204,-1,-1,0.16653295878362928,-1,-1,0.3623222962730148,-0.14997305277907524,0.10854305621591465,0.26849514265652097,-1,-1,0.19145205769176088,-1,-0.03656063617249461,-1
two,-0.20568410887359678,0.20848996562789202,-0.3449952488776604,0.584452734871995,-1,-1,-1,-1,0.4099775486685284,-1,-1,-0.24215644092226807,0.08639982491166542,-1,-1,0.518828468153766,-1,-1,0.3450645265586395,-0.12096781489464181,0.41791851542884506,0.4597488799273892,-1,-1,0.37135265232791137,-1,0.13125287057999258,-1
years,-0.11002406468574022,0.20486641936914918,-0.2414853320649677,0.6409045866674892,-1,-1,-1,-1,0.36819382916826515,-1,-1,-0.3160766682963372,-0.01213027639392772,-1,-1,0.4299178186606907,-1,-1,0.3663743866001007,-0.21677482097033707,0.2842548478456508,0.4150048647497038,-1,-1,0.2904060977211812,-1,0.0872391819308902,-1
ago,-0.06465898699214834,0.25635062159767796,-0.14243739733733207,0.5923356513576823,-1,-1,-1,-1,0.37220590149460064,-1,-1,-0.2971150811320862,-0.0042257104374363585,-1,-1,0.48131259272080473,-1,-1,0.2811250879913767,-0.2357054603480111,0.26775406374692257,0.3919868469472304,-1,-1,0.31443548654375486,-1,0.08683124955183397,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,0.056510750700308976,0.07870151077071863,-0.16534206457278144,0.14981089687297566,-1,-1,-1,-1,0.28472371998321766,-1,-1,-0.17630143055780678,0.010154760743378288,-1,-1,0.35466231254592206,-1,-1,0.44931257372180655,-0.2496613941020589,0.07074735779445795,0.304672441928876,-1,-1,0.06754837370734335,-1,0.11347539266881479,-1
reunion,-0.05951017646589629,-0.027852066292350708,-0.14981402269927102,0.17062118974276785,-1,-1,-1,-1,0.3100420912148454,-1,-1,-0.1875363316815264,-0.0352240481326902,-1,-1,0.24876551577017614,-1,-1,0.26294554578828866,0.03537334229088862,0.1391184740383391,0.153625114857316,-1,-1,0.28328385619251584,-1,0.07625619286453478,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,0.35460344694310164,0.4713237759027169,0.13398502237402565,0.40541370554051515,-1,-1,-1,-1,0.7442841239732009,-1,-1,-0.401150222309268,-0.12770333882894636,-1,-1,0.40581899798782584,-1,-1,0.17232451566621976,-0.3567462422342038,0.16623004943949393,0.39041446738544316,-1,-1,0.12141376879406718,-1,0.08988757138430303,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
