model,'',interview,with,bbc,hausa,service,.
the,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1
missing,-1,0.2265528677143539,-1,0.2849615316189503,-0.18361059543129477,0.2277380913702418,-1
nigerian,-1,0.16615649446733405,-1,0.2659397732017664,0.10523133508246107,0.2704038148824146,-1
schoolgirls,-1,-0.1784019608625218,-1,0.005082369613676696,-0.1786952712819181,-0.02161564562358942,-1
to,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1
rescued,-1,0.1074414372407253,-1,0.1914735486524879,-0.17543267061603496,0.28789866400976927,-1
since,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1
capture,-1,0.2229607798681541,-1,0.08732647240222546,-0.12030305407191189,0.18032810652087106,-1
two,-1,0.34344383324205796,-1,0.3923773525772336,-0.14344633018063635,0.384304302364047,-1
years,-1,0.32609006194426726,-1,0.3365441764278634,-0.18625631569515377,0.40730689945286813,-1
ago,-1,0.37546954271633737,-1,0.34839684748230626,-0.19825105910734164,0.34231103951622244,-1
has,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1
emotional,-1,0.4345928894887229,-1,0.19531563212878633,0.03918493468719231,0.3404533561562446,-1
reunion,-1,0.3680531712514319,-1,0.07572824273386236,0.01899873114967987,0.1479157378133762,-1
with,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1
mother,-1,0.37943324653719923,-1,0.3825247978934463,-0.05895282477373032,0.3182586688907154,-1
.,-1,-1,-1,-1,-1,-1,-1
