model,a,spokesman,for,nigeria,'s,president,muhammadu,buhari,said,the,rescued,young,woman,would,be,brought,to,meet,the,head,of,state,before,being,helped,to,reintegrate,into,society,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,-1,0.2683090496578886,-1,0.3535820064038183,-1,0.1593578344939517,-0.13793082917820287,0.012393134911951487,-1,-1,0.519215403623648,0.5226153617709073,0.625669782462003,-1,-1,0.38788248076902243,-1,0.2669264433447178,-1,0.29560489447916705,-1,0.3013193141374224,-1,-1,0.35159076196257255,-1,-0.05571263670320392,-1,0.1928537280655379,-1
nigerian,-1,0.5524283042861176,-1,0.7409519679476302,-1,0.6336144311080344,0.3953346077077682,0.4350661719214284,-1,-1,0.3362031510019785,0.3759100428518096,0.41764835181393045,-1,-1,0.31038691624253,-1,0.27939494780448704,-1,0.3035338225066304,-1,0.5843460251771956,-1,-1,0.2916959409957718,-1,-0.09921058231353697,-1,0.4069650997558141,-1
schoolgirls,-1,-0.12856123935758124,-1,0.23313522017124177,-1,-0.09726626354239132,0.13171035236763529,0.07910679289780176,-1,-1,0.4145868468551295,0.1404415116855635,0.09997230572387006,-1,-1,-0.07183728645066911,-1,-0.03556965350473429,-1,-0.13834331356220342,-1,-0.010282568771463163,-1,-1,0.054448359286331516,-1,-0.017746981467451795,-1,-0.061169527441019556,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,0.17916972496096195,-1,0.2978563246676953,-1,0.1348403056307732,-0.12512102279913728,-0.020264923287391712,-1,-1,1.0,0.3719656474615475,0.5066573145402195,-1,-1,0.3774451258890239,-1,0.09912173800919077,-1,0.17214611367638333,-1,0.20430676719235508,-1,-1,0.3560714362742926,-1,-0.011664378862850544,-1,0.13620430826943408,-1
