model,',``,afterwards,we,had,to,make,them,understand,that,the,girl,would,not,be,left,in,their,care,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
missing,-1,-1,0.32286162942671104,-1,-1,-1,0.3143850318723769,-1,0.2640851766388226,-1,-1,0.5590621724756853,-1,-1,-1,0.44570831687588697,-1,-1,0.31467423925124494,-1
nigerian,-1,-1,0.012261123191225964,-1,-1,-1,0.13579817211726197,-1,0.20498720981632856,-1,-1,0.33084242936923225,-1,-1,-1,0.2644912271108484,-1,-1,0.16893856283602937,-1
schoolgirls,-1,-1,-0.09579159527554326,-1,-1,-1,-0.14746674187670794,-1,-0.15485004537835545,-1,-1,0.11414716161310856,-1,-1,-1,0.08542450059435625,-1,-1,0.00417840076613174,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,-1,0.2786032999704545,-1,-1,-1,0.23667523408863878,-1,0.20469876307322288,-1,-1,0.40720163804363585,-1,-1,-1,0.39928436337926865,-1,-1,0.25410634119774145,-1
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,-1,-1,0.23376042653029283,-1,-1,-1,0.4246278422253287,-1,0.43601374540639737,-1,-1,0.17105216723519812,-1,-1,-1,0.2138061506123381,-1,-1,0.2355913548545756,-1
two,-1,-1,0.31163810202917297,-1,-1,-1,0.43380889025898095,-1,0.3000836063441372,-1,-1,0.44585444470318514,-1,-1,-1,0.5217610988147572,-1,-1,0.3433230562837848,-1
years,-1,-1,0.3055227444540094,-1,-1,-1,0.4296607923389806,-1,0.3531285059317377,-1,-1,0.42225934743631255,-1,-1,-1,0.4565906627236951,-1,-1,0.40061880571941355,-1
ago,-1,-1,0.41647049454767315,-1,-1,-1,0.3738422816814082,-1,0.3315842909989627,-1,-1,0.425225337687135,-1,-1,-1,0.44131093091127305,-1,-1,0.3080545884560495,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,-1,-1,0.3084353997662824,-1,-1,-1,0.34327485080434383,-1,0.34105657708856896,-1,-1,0.294479950431064,-1,-1,-1,0.2535332130874972,-1,-1,0.32746956943994543,-1
reunion,-1,-1,0.176647304305507,-1,-1,-1,0.056655935809123315,-1,0.034519284669809136,-1,-1,0.2913566174991453,-1,-1,-1,0.12337693822519213,-1,-1,0.07725050656833388,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,-1,0.3876101024006877,-1,-1,-1,0.32008969357547423,-1,0.33302980086581657,-1,-1,0.6666922432707062,-1,-1,-1,0.42672571210669397,-1,-1,0.4065331196919739,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
