model,in,short,:,he,will,probably,urge,christians,and,muslims,to,get,along,.
pope,-1,0.2303515332751246,-1,-1,-1,0.2410351641960834,0.1758858267532507,0.2562615435652369,-1,0.26316330484477835,-1,0.17292173688052725,0.2292968916046384,-1
francis,-1,0.0994115143842994,-1,-1,-1,0.1505070168076159,0.11611497078122646,0.09960684001312758,-1,0.12519642843153034,-1,0.10057583263486725,0.15550212278407838,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
go,-1,0.6292685239009101,-1,-1,-1,0.7543491859379264,0.4121582890372999,0.1771904710074257,-1,0.32986192620807553,-1,0.7673248247376551,0.6071888717459296,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
africa,-1,0.3265818636084269,-1,-1,-1,0.42304996007890483,0.11392263250237478,0.3457346871250193,-1,0.45334754113774756,-1,0.3648444700328868,0.4497194566043162,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,0.5943686227635848,-1,-1,-1,0.5502599499847095,0.22885870313233347,0.08193716542495466,-1,0.22361522540600987,-1,0.5171399846281691,0.47759140915141063,-1
visiting,-1,0.2692691245596821,-1,-1,-1,0.29621059422561535,0.2103490685564654,0.4351297469552893,-1,0.5168086014144119,-1,0.30383631994527116,0.48222276189633073,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
refugee,-1,-0.01135904465477644,-1,-1,-1,0.09618217916966987,0.0887474179301786,0.2263934033395022,-1,0.418694504084941,-1,0.15471124824063898,0.23536253898697945,-1
camp,-1,0.29640054427915663,-1,-1,-1,0.3440997825452248,0.14359453335654027,0.2649177097297968,-1,0.4162251855584047,-1,0.2705066994585752,0.4451583130236121,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slum,-1,-0.023735224147543033,-1,-1,-1,-0.11357607846569318,-0.14669597956287195,0.02406916804319592,-1,0.024595056844302077,-1,-0.08753289737269077,0.004740108741911553,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mosque,-1,0.07414349851337076,-1,-1,-1,0.22414490354386785,0.06787321972676696,0.3023405264835375,-1,0.32778288894220053,-1,0.11389823513788855,0.24722057871055536,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
