model,security,is,expected,to,be,tight,throughout,the,trip,as,the,faithful,flock,to,see,this,popular,pope,who,has,previously,said,that,christians,would,be,wrong,to,equate,islam,with,violence,.
pope,0.22775789675183866,-1,0.27931077383960456,-1,-1,0.18216062361432905,0.1443094097898402,-1,0.295000143921319,-1,-1,0.11413572593960697,0.09896292621583491,-1,0.25734936519226026,-1,0.3720229395705186,1.0,-1,-1,0.3101661150137147,-1,-1,0.2562615435652369,-1,-1,0.14234252226358723,-1,-0.009721420901829703,0.20867992198586338,-1,0.2315201659872398,-1
francis,0.23315094714825235,-1,0.20652607727950456,-1,-1,-0.15355715269362702,0.06944921387321812,-1,0.21733207753213868,-1,-1,0.09376746103036027,0.09150894047219038,-1,0.186835428047867,-1,0.2178467563207116,0.659232617458604,-1,-1,0.2885505592370746,-1,-1,0.09960684001312758,-1,-1,0.0787833035483938,-1,-0.11120110737891165,0.10353805016214224,-1,0.15329399857278259,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
go,0.3422171078722229,-1,0.6437161910930782,-1,-1,0.4273781854580896,0.4796777053618324,-1,0.5471642892002444,-1,-1,0.1627410670505759,0.18610146753252577,-1,0.8059291633272034,-1,0.3382117088598613,0.21270827601476816,-1,-1,0.31319809373525953,-1,-1,0.1771904710074257,-1,-1,0.6703500993713842,-1,0.19270934815231555,0.14195759013151799,-1,0.3072316204753536,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
africa,0.3006676199731402,-1,0.45844463728971674,-1,-1,0.18025312016770734,0.5369901114523383,-1,0.5411627681904916,-1,-1,-0.004592035615356149,0.09345309709559202,-1,0.48466991805544657,-1,0.46119989738085254,0.29930120834955587,-1,-1,0.3077425988788358,-1,-1,0.3457346871250193,-1,-1,0.1993102020253752,-1,-0.08415024150908268,0.3253216477595011,-1,0.38595611770150773,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,0.4481633939606742,-1,0.734934012785901,-1,-1,0.30559231014428045,0.5093310341340067,-1,0.618703733712268,-1,-1,0.036415164095486396,0.07110807277333597,-1,0.6150645907610071,-1,0.41613111698498706,0.34873185387456385,-1,-1,0.4858084207300396,-1,-1,0.08193716542495466,-1,-1,0.39044139826135726,-1,0.029873081563287496,0.09520191910245124,-1,0.3837743456647985,-1
visiting,0.3145640919003466,-1,0.3530708257483558,-1,-1,0.08226252456034822,0.4334724234232288,-1,0.5385139049265808,-1,-1,0.25652171851834205,0.4139795857635663,-1,0.38287538666663146,-1,0.3489946850942407,0.31529510883405976,-1,-1,0.27176669030540335,-1,-1,0.4351297469552893,-1,-1,0.28364733753004034,-1,-0.16694712916090482,0.2201428302952193,-1,0.2771924170311386,-1
