model,the,pope,'s,visit,to,the,capital,bangui,where,many,have,died,in,violence,between,largely,muslim,seleka,rebels,and,mainly,christian,``,anti-balaka,'',militias,is,seen,as,his,most,dangerous,yet,-,but,potentially,also,one,of,his,most,fruitful,as,a,peace-maker,.
pope,-1,1.0,-1,0.40894330824097935,-1,-1,0.3010551433080094,0.09484090975618642,-1,-1,-1,0.2876791951806926,-1,0.2315201659872398,0.16481138166398124,0.14118847304165683,0.2897696910435026,0.059167387863135135,0.18325518458309098,-1,0.13173610402916935,0.575037109290721,-1,0.32529662791150993,-1,0.21346260978579445,-1,0.23074929143551004,-1,-1,-1,0.0959911905986015,0.21320274872946565,-1,-1,0.0661620770862128,-1,0.31727966290050824,-1,-1,-1,-0.17120521592649096,-1,-1,-0.6032787694246369,-1
francis,-1,0.659232617458604,-1,0.3053028976550819,-1,-1,0.25215188865482574,-0.0016131640578322948,-1,-1,-1,0.23877886272350146,-1,0.15329399857278259,0.12423156161982951,0.12859797087293834,0.11305366227416691,-0.009277476457500544,0.18718248099087775,-1,0.27909430627350074,0.43646466523915006,-1,0.34259787036434,-1,0.13338547499064968,-1,0.18744127955444323,-1,-1,-1,0.09726786240713137,0.17114122490508432,-1,-1,0.06416855234753127,-1,0.26038735044800343,-1,-1,-1,-0.20878862428773326,-1,-1,-0.4641288206415266,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
go,-1,0.21270827601476816,-1,0.5414108495346837,-1,-1,0.3161517099001343,-0.048792270212998146,-1,-1,-1,0.34616084159158955,-1,0.3072316204753536,0.3461133120739932,0.3369098240472338,0.23859450258607706,-0.3115991537031402,0.20251856456883655,-1,0.41772604209543496,0.24231672692322448,-1,-0.2955124177584776,-1,0.0035843870796379296,-1,0.5345806032030976,-1,-1,-1,0.3738675474896387,0.5555912567450125,-1,-1,0.5275639233272623,-1,0.5255152601514851,-1,-1,-1,-0.10478436637815713,-1,-1,-0.6195205025865831,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
africa,-1,0.29930120834955587,-1,0.5842495026034236,-1,-1,0.5234895852699369,0.22566978019985806,-1,-1,-1,0.34207454191454867,-1,0.38595611770150773,0.3981405803238174,0.2804807203124855,0.45826403485093903,0.07733332341797883,0.3348811106680414,-1,0.5727121727408215,0.4178762378580928,-1,-0.23206576213920105,-1,0.16933450987779386,-1,0.4741042277863663,-1,-1,-1,0.30815329618061704,0.39698448908088124,-1,-1,0.2902872981342287,-1,0.47203315688377034,-1,-1,-1,-0.1386169900981462,-1,-1,-0.5459687576202659,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,0.34873185387456385,-1,0.6887433614734472,-1,-1,0.4725471126279708,0.020516434707492093,-1,-1,-1,0.5224755325865112,-1,0.3837743456647985,0.3205534086475059,0.3329326566075399,0.26657527194516084,-0.1633351514138226,0.24858914429029333,-1,0.43718222753988645,0.22602834968845342,-1,-0.41085210677143214,-1,-0.09544999682784261,-1,0.5449180182001973,-1,-1,-1,0.2663668589547743,0.5184666576985342,-1,-1,0.38300618437548806,-1,0.590168201670971,-1,-1,-1,-0.026045475101400095,-1,-1,-0.6941322842280135,-1
visiting,-1,0.31529510883405976,-1,0.6205958373778747,-1,-1,0.3483820991688107,0.07464607910709575,-1,-1,-1,0.4954372815028244,-1,0.2771924170311386,0.19499734033964455,0.2521017375985224,0.4761302891955226,-0.0029233191874669107,0.25596727575769085,-1,0.499457900712138,0.48687992922602774,-1,-0.10452117250416437,-1,0.20903449140254926,-1,0.43270178417360095,-1,-1,-1,0.1816252527601514,0.22062111748260194,-1,-1,0.24158786252981213,-1,0.3672671465698415,-1,-1,-1,-0.12079546602263491,-1,-1,-0.5180901121405794,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
refugee,-1,0.1986428997092069,-1,0.28509907252957456,-1,-1,0.4719327957945071,0.12355707668078408,-1,-1,-1,0.260950422964767,-1,0.27151470431622204,0.2050598315203418,0.1776088958862102,0.5481971889484132,0.3052182943594387,0.4037378839811758,-1,0.5771665154499374,0.44099832587667975,-1,0.07929354325512572,-1,0.34668500897096055,-1,0.1483299634851163,-1,-1,-1,0.16617022072222765,0.12274113060675607,-1,-1,0.2430315238844477,-1,0.3094671934509732,-1,-1,-1,-0.10946078936335657,-1,-1,-0.4188104487294746,-1
camp,-1,0.19071235434979128,-1,0.4182578338676588,-1,-1,0.5205416499183801,0.20343915052334394,-1,-1,-1,0.4926530555400461,-1,0.3023694268913597,0.285709082200708,0.3211852543817112,0.4582974177819562,0.23587260072193295,0.4172926087685356,-1,0.6065926300434737,0.33965420330691365,-1,0.006368337964671844,-1,0.2290784043917693,-1,0.32133676308480497,-1,-1,-1,0.3168722427114744,0.2960001373671426,-1,-1,0.3466970375556837,-1,0.4570659623502944,-1,-1,-1,-0.1078651465472591,-1,-1,-0.5709934733404776,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slum,-1,-0.21329838877106266,-1,-0.013975543279537872,-1,-1,0.240225174204309,0.4488815208854491,-1,-1,-1,-0.10176788874053821,-1,0.010783956726265975,-0.0730424561166978,0.09032968296099819,0.2565760927811468,0.15106726514448832,-0.008714093470909123,-1,0.17337908589576279,0.07210339164622903,-1,0.11310810304973318,-1,0.12149559415469269,-1,-0.03811386794553706,-1,-1,-1,0.1783350128119756,-0.12587013892915255,-1,-1,0.11760403320642288,-1,0.050790399843456235,-1,-1,-1,0.19773143234956336,-1,-1,0.07342558418432943,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mosque,-1,0.1628791872385128,-1,0.3611293727244155,-1,-1,0.43414920593485673,0.3205370069525397,-1,-1,-1,0.3029339620100713,-1,0.1194311455517616,0.16716841792111592,0.17185520948190636,0.4209914559873936,0.28860120666373834,0.32082057579413603,-1,0.4221017868286947,0.33759401516301024,-1,0.02674355264511441,-1,0.24776202663910207,-1,0.19576526136585726,-1,-1,-1,0.03658396163281008,0.1023515953688866,-1,-1,0.07337325572442288,-1,0.2875478678738187,-1,-1,-1,-0.044807061218679056,-1,-1,-0.36378783971680306,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
