model,his,emphasis,on,the,developing,world,and,the,example,of,simplicity,he,sets,in,his,own,life,will,be,welcomed,in,countries,where,corruption,in,public,life,is,often,seen,as,an,issue,.
pope,-1,0.1166631473677503,-1,-1,0.11227648833273152,0.2642848576941499,-1,-1,0.23385082919160205,-1,-0.017846901480596644,-1,0.12407696060446749,-1,-1,0.21839737030877548,0.1660620338288178,-1,-1,0.42504377792067294,-1,0.06011627352997306,-1,0.19615348858355142,-1,0.16427007276428096,0.1660620338288178,-1,0.21410130695564933,0.23074929143551004,-1,-1,0.2370380120679919,-1
francis,-1,0.09210416546996547,-1,-1,0.03298885347458158,0.16044749001831637,-1,-1,0.22577052290837973,-1,-0.01951772555755249,-1,0.04901587683205744,-1,-1,0.1733871965632412,0.09177712362138812,-1,-1,0.42710644287272403,-1,0.09973176427084862,-1,0.22116847323256617,-1,0.14639536141175014,0.09177712362138812,-1,0.19540475150455394,0.18744127955444323,-1,-1,0.19901045912896909,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
go,-1,0.29510230575361995,-1,-1,0.3524871329106335,0.42387694988946434,-1,-1,0.5007013453013149,-1,-0.06667481762890137,-1,0.45829499253748174,-1,-1,0.566238906519809,0.5882927384309665,-1,-1,0.4112083949760055,-1,0.49150618821086556,-1,0.2076676597618632,-1,0.45569514365735775,0.5882927384309665,-1,0.5568150854671592,0.5345806032030976,-1,-1,0.4722441603252504,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
africa,-1,0.14367613768402498,-1,-1,0.4333139535856536,0.5981331492100581,-1,-1,0.4591633876839505,-1,-0.04223276332270265,-1,0.26839664040558686,-1,-1,0.3618014601936572,0.3421443761074121,-1,-1,0.35027582705793736,-1,0.6474792130771381,-1,0.31827754028864286,-1,0.2750356054501104,0.3421443761074121,-1,0.41962902974653415,0.4741042277863663,-1,-1,0.33822576712968067,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,0.15559952814045064,-1,-1,0.3194028626884382,0.4472156941457006,-1,-1,0.50529588002978,-1,-0.10628877183493146,-1,0.4456763514689517,-1,-1,0.4336337455866702,0.5206049441011638,-1,-1,0.5852837460712408,-1,0.471029367534594,-1,0.404703140423023,-1,0.43307020242751626,0.5206049441011638,-1,0.4401071425611566,0.5449180182001973,-1,-1,0.5333612829209432,-1
visiting,-1,0.13799138727669114,-1,-1,0.32070673788599835,0.2977814678719821,-1,-1,0.3029651078472899,-1,-0.1645891530447683,-1,0.12577981422237694,-1,-1,0.351575705042378,0.38902899286994685,-1,-1,0.3744439909810122,-1,0.45016124116671197,-1,0.1783537347817047,-1,0.30276698211034714,0.38902899286994685,-1,0.35726204355292623,0.43270178417360095,-1,-1,0.23825229151111116,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
refugee,-1,0.0332477661741053,-1,-1,0.4497065594235352,0.34110838029400137,-1,-1,0.29303462368742594,-1,-0.08753224890551281,-1,0.07917394569593972,-1,-1,0.3145303411754745,0.2959914494524397,-1,-1,0.3567696704860317,-1,0.5204358140451293,-1,0.3391924898660219,-1,0.322152156200773,0.2959914494524397,-1,0.22429774370005928,0.1483299634851163,-1,-1,0.32603351545909043,-1
camp,-1,0.0701561348779628,-1,-1,0.37102945578741275,0.37353424661363743,-1,-1,0.3219180775969682,-1,-0.13531094196296212,-1,0.1434105454556157,-1,-1,0.366972578178579,0.46551654034288736,-1,-1,0.2283947179653263,-1,0.42665364860451527,-1,0.3051699537374517,-1,0.28637908261454836,0.46551654034288736,-1,0.35570838060231025,0.32133676308480497,-1,-1,0.3369334063290196,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slum,-1,0.16162538120299685,-1,-1,0.19143249276873875,-0.024768264466884737,-1,-1,0.13862832770932754,-1,0.3296187405206181,-1,-0.05928532678871301,-1,-1,-0.02395715068975246,0.023666797488043567,-1,-1,-0.1740114397511885,-1,0.13530752127564005,-1,0.06717423975160541,-1,0.04377236341558133,0.023666797488043567,-1,0.010735268994949365,-0.03811386794553706,-1,-1,0.1126150732343072,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mosque,-1,0.1149539624695246,-1,-1,0.25381397691557894,0.18337482542167405,-1,-1,0.16974038346489717,-1,0.03826954880648059,-1,0.09483692671366195,-1,-1,0.08424800448846526,0.07922798370902573,-1,-1,0.1444236974643236,-1,0.26728441380808876,-1,0.12810423069687238,-1,0.031260453084199336,0.07922798370902573,-1,0.09718254310184804,0.19576526136585726,-1,-1,0.15206061416833805,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
