model,defending,champion,rory,mcilroy,had,a,one-over,73,to,lie,eight,behind,fowler,.
england,0.4295530029352217,0.4206916550158304,0.2996760439561297,0.3470539537195143,-1,-1,-0.2736237888680224,0.39334643453289053,-1,0.21133785419208517,0.5228131272308721,0.32170937634983754,0.14808469750307596,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
justin,0.24548625985173556,0.41460974365384096,0.02257945973373221,0.11838755590320549,-1,-1,-0.08326826372142082,0.31130651429997336,-1,0.015921683187849034,0.09246962979620232,0.1012442039112883,0.07137303003717554,-1
rose,0.22333441700021206,0.3245170230437199,0.3078375939806153,0.3089304311081562,-1,-1,-0.055280893614176874,0.5215995665342641,-1,0.19634986737551696,0.3876403438829412,0.29644142697713116,0.14978431868081254,-1
hit,0.18863889685772406,0.2663542473814322,0.20718817367501874,0.3045000888678133,-1,-1,-0.0516954977884041,0.4110276746873853,-1,0.20357620183163005,0.48357600370291454,0.33322795019300133,0.0692561151111889,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
three-under-par,-0.08903682077219255,-0.04479602368497293,0.1106450699330801,0.17915993161863875,-1,-1,0.2560766803859055,0.17590741823510236,-1,0.11579436160412415,0.009572194765552378,-0.05999358662819043,-0.029971309279296365,-1
69,0.19829591373448174,0.2757049031610854,0.6534271252470357,0.5923335906145866,-1,-1,-0.25605089487643684,0.4210090399892281,-1,0.24165544623835555,0.4015256975495567,0.21451124319714043,0.33766946270113896,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trail,0.34259068808366666,0.22605722404093842,0.09940617611688218,0.09462272021814233,-1,-1,-0.03317231053439329,0.268364192114256,-1,0.4007897266310496,0.2679441019187606,0.43233886009338995,0.03743094806513325,-1
leader,0.3650338025363472,0.38800537581832295,0.2667327143657985,0.30677348489741374,-1,-1,-0.25980077146448055,0.22188382083568048,-1,0.1589133840328939,0.2724991220214761,0.3437178289766122,0.27257489127188705,-1
rickie,0.0483195441897627,0.1781212619776733,0.5158397384949547,0.47517311309242394,-1,-1,-0.29940071938479984,-0.02868126571749796,-1,-0.020982553061647646,-0.005507314296862464,-0.02016500455646586,0.8578139141814617,-1
fowler,0.1820422301263077,0.2570491445918097,0.6194785883286162,0.588662346967822,-1,-1,-0.2738696037422097,0.16333623505511463,-1,0.0859210194414215,0.1085186199241831,0.11710035700341848,1.0,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.3636541688018553,0.32020056190959845,0.22302388002905849,0.42017501730424867,-1,-1,-0.1554085569041761,0.504060511350028,-1,0.3769837150914459,0.853018254445691,0.45599099257752296,0.1307736998247262,-1
strokes,0.21466587472630305,0.11019807291789219,0.047855730093903204,0.2635419543971478,-1,-1,0.1490571915697979,0.3455709087229747,-1,0.380091389251918,0.568891901331191,0.5185806985835121,0.14765011190515864,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
third,0.4726868483065454,0.4903455294268255,0.22542146151576703,0.40910136212227255,-1,-1,-0.05432320164392679,0.5245742960391604,-1,0.5703822009289458,0.6737847158392944,0.5686692262918926,0.1150825367181949,-1
round,0.40744436688018726,0.39959207447507694,0.085474737891309,0.31173950471744205,-1,-1,0.01868807561900121,0.4258844451042564,-1,0.4945618724476719,0.5590632371345694,0.3694403215306922,0.040463950980065055,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wells,0.14337294323150884,0.1094212677021782,0.26681742978842027,0.3050486930661992,-1,-1,-0.22168497250191033,0.25010020617619944,-1,0.07947154714931115,0.19629472290686545,0.06628027250968094,0.42919228610281335,-1
fargo,0.02878210016441962,0.04866561360841104,-0.03137566449460749,0.06089768988103883,-1,-1,0.012716751486755218,0.08863257657107393,-1,-0.06817146942949126,-0.021518913904663428,-0.07529964854771931,0.26021127671845734,-1
championship,0.5210307932800303,0.5594307665419598,0.22546393437364054,0.36007640921174566,-1,-1,-0.15383497420048564,0.42726416552500135,-1,0.3790148420794255,0.6627740944332613,0.44630053268160497,0.08343702475902026,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
