model,never,want,to,miss,the,latest,golf,news,?,you,can,now,add,this,sport,and,all,the,other,sports,and,teams,you,follow,to,your,personalised,my,sport,home,.
england,0.4029596844524408,0.4006981812648396,-1,0.3969834183607258,-1,0.33355060411474713,0.3986940161856132,0.20443775650909168,-1,-1,-1,-1,0.36969725324799696,-1,0.4969921593488458,-1,0.4583213297112494,-1,-1,0.3598007733138995,-1,0.5548258185817329,-1,0.3005527643711229,-1,0.27197181565860373,0.083011307886803,0.30515147068897375,0.4969921593488458,0.37609913502420544,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
justin,0.05485840687291754,0.07594134823539633,-1,0.1711315251939316,-1,0.035582686537734776,-0.052437832258721784,0.1419295786726784,-1,-1,-1,-1,0.03894820938556842,-1,0.12680308335677404,-1,0.06144750342235672,-1,-1,0.31806702885192717,-1,-0.037036295769741656,-1,0.07253582561115968,-1,-0.059913911622787364,-0.16014775921768742,0.016980954624926548,0.12680308335677404,0.16445083602663357,-1
rose,0.12504744609776364,0.12033758674040151,-1,0.13741588717824815,-1,0.1830857402584063,0.15275616770351197,0.2176967451531766,-1,-1,-1,-1,0.24113321591562964,-1,0.1939788511912719,-1,0.23820963720413246,-1,-1,0.2924397167455026,-1,0.16218860252562362,-1,0.13935744203513045,-1,0.07712887366482724,-0.15136292547432983,0.0929034171555081,0.1939788511912719,0.3191911104043741,-1
hit,0.40735725009358703,0.3317180958572139,-1,0.3759181587919056,-1,0.3634489997045831,0.3089990929541371,0.3686903255999192,-1,-1,-1,-1,0.29366268242398164,-1,0.3128300840464888,-1,0.39171015985921764,-1,-1,0.2874645779857288,-1,0.41530306613915946,-1,0.23360525444495617,-1,0.30682685327778614,0.03504680238370206,0.34814808469576275,0.3128300840464888,0.43682590873486604,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
three-under-par,-0.17627249018174584,-0.22508300673499781,-1,-0.018287748336902387,-1,-0.030945172754588413,-0.34267266819582254,-0.15845369901148243,-1,-1,-1,-1,-0.038521358690338126,-1,-0.21802470216938397,-1,-0.14438907073590523,-1,-1,-0.18003587549170197,-1,-0.1318896913719967,-1,-0.0343429087478313,-1,-0.13876304082879964,-0.0053871432825001175,-0.13186428645863524,-0.21802470216938397,-0.03546450955479963,-1
69,0.13929334813790728,0.11116147729412029,-1,0.19550785364295165,-1,0.12140890333805787,0.10838983647600875,0.10454334512025454,-1,-1,-1,-1,0.19485236127513594,-1,0.15862074487619482,-1,0.20369201086139632,-1,-1,0.1003657502157328,-1,0.2508473104582427,-1,0.2215427796005658,-1,0.08886870372162936,0.020603778190121158,0.1036652119774164,0.15862074487619482,0.2337857693388673,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trail,0.19482758250723764,0.29728105471861066,-1,0.23794581861025887,-1,0.306570111320532,0.2703579301268988,0.29095951251543095,-1,-1,-1,-1,0.2010257292569264,-1,0.2953850424818043,-1,0.25692561095186384,-1,-1,0.15496288944894854,-1,0.3594831293318227,-1,0.2154075918249,-1,0.29805077151301074,0.08034885993126883,0.167205173942382,0.2953850424818043,0.2147243184649681,-1
