model,ross,lafayette,-lrb-,dover,athletic,-rrb-,.
ricky,0.42772730801911796,0.41757098476027854,-1,0.537069268771844,0.4023153476175738,-1,-1
miller,0.6806058333315264,0.5002617633933071,-1,0.4885063506277143,0.3758830411746438,-1,-1
scored,0.5278290847504409,0.09582836894875324,-1,0.2861863454253436,0.27225089756723286,-1,-1
a,-1,-1,-1,-1,-1,-1,-1
superb,0.20167076191950517,-0.06401558422382614,-1,0.07389746425056953,0.1423995958374733,-1,-1
hat-trick,0.3598719431271006,0.13902800692002482,-1,0.21324806914760408,0.20117668046581438,-1,-1
as,-1,-1,-1,-1,-1,-1,-1
dover,0.665257248327488,0.6055928366548963,-1,1.0,0.8529382578673381,-1,-1
made,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1
two,0.29856663066488065,-0.23291148607969325,-1,0.14767515750406957,0.18737805315072564,-1,-1
wins,0.5080917950117905,0.10713866048236953,-1,0.6011382594232453,0.7402733606703219,-1,-1
on,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1
bounce,0.18968048885331124,0.033232507584322724,-1,0.11612413382623044,0.06940203462015426,-1,-1
with,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1
thrilling,0.10669317247196353,-0.035961407112103494,-1,0.10714969350148174,0.1098655694182421,-1,-1
victory,0.3434043005592615,-0.020475677814862703,-1,0.23559619209029925,0.24640400301355725,-1,-1
over,-1,-1,-1,-1,-1,-1,-1
national,0.23066336177417857,-0.13622787498477962,-1,0.19878050208495313,0.28462178020420703,-1,-1
league,0.378527568162194,-0.09428595880539925,-1,0.29708570400993284,0.4109924913457905,-1,-1
leaders,0.32064948602820087,-0.15028599348327631,-1,0.17336505408871428,0.21272000201298524,-1,-1
forest,0.5974697827339107,0.16377413227287496,-1,0.6736060464335427,0.7341629189457309,-1,-1
green,0.6485275902250917,0.14525303894453212,-1,0.5080605642886042,0.5341790567589545,-1,-1
.,-1,-1,-1,-1,-1,-1,-1
