model,report,supplied,by,the,press,association,.
ricky,0.03468241903571623,0.09209358298100478,-1,-1,0.06093773086688392,0.11748983246392042,-1
miller,0.19465214053772972,0.11179706822843727,-1,-1,0.21612138692262195,0.28937916990361123,-1
scored,0.1954592677824949,0.005496976966073208,-1,-1,-0.004630525657401741,0.14466592171826287,-1
a,-1,-1,-1,-1,-1,-1,-1
superb,0.2098707050822446,0.127548000657688,-1,-1,0.08697130631456018,0.12868401062436352,-1
hat-trick,0.10060419064237625,0.014737719335891075,-1,-1,0.01340928483260373,0.09222599699126632,-1
as,-1,-1,-1,-1,-1,-1,-1
dover,-0.03691047319712526,0.07313703420607454,-1,-1,0.017741802841062748,0.16515742156535873,-1
made,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1
two,0.3432378377749671,0.13085327842524852,-1,-1,0.29588819738743544,0.34054644791969957,-1
wins,0.1995453164631492,0.2155915704897574,-1,-1,0.2151474043302617,0.3194822671881481,-1
on,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1
bounce,0.049018776875024095,-0.04336666609972384,-1,-1,0.129599619141459,-0.044045543847251345,-1
with,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1
thrilling,0.13189714365914085,0.05661482670141438,-1,-1,0.12745957535652386,-0.009043707625998376,-1
victory,0.20712732175595172,0.07418466829782444,-1,-1,0.19374926147132343,0.18024134368040556,-1
over,-1,-1,-1,-1,-1,-1,-1
national,0.4053560774105528,0.288802991101184,-1,-1,0.4013411174061977,0.6369439448647842,-1
league,0.24359480492800922,0.17147574494802142,-1,-1,0.21884337027866352,0.393608949973675,-1
leaders,0.29202295595323113,0.17884543402753827,-1,-1,0.374641719475177,0.44427209231920783,-1
forest,0.22873283014893198,0.23773947870311063,-1,-1,0.3048707428441997,0.3821258057223822,-1
green,0.3150901866580218,0.21033588428887207,-1,-1,0.4188911930012005,0.4942344477773688,-1
.,-1,-1,-1,-1,-1,-1,-1
