model,christian,doidge,looked,to,have,rescued,a,point,for,the,visitors,in,the,85th,minute,but,there,was,still,time,for,miller,to,complete,his,treble,and,clinch,victory,with,a,fine,strike,.
ricky,0.38075461167449176,-0.5421241992790833,0.08965198262534102,-1,-1,0.1428694210777437,-1,0.08937378001280893,-1,-1,0.1687500441873898,-1,-1,-0.021387765603743336,0.10661295228223489,-1,-1,-1,0.00472720029377649,-1,-1,0.6553121234490649,-1,0.0035599999230835344,-1,-0.03893079219579132,-1,0.022874941599074994,0.09351840398042854,-1,-1,0.14638009746909342,0.04722879137105018,-1
miller,0.28838222408079983,-0.19026175742949802,0.3303545915032643,-1,-1,0.18600299081168603,-1,0.19545243356513675,-1,-1,0.2552208761820537,-1,-1,-0.1576021159319947,0.13576371262536968,-1,-1,-1,0.15913294340306638,-1,-1,1.0,-1,0.1842917097399952,-1,-0.10695607529961171,-1,0.04528830115664695,0.20184027589904185,-1,-1,0.17787536554063554,0.11331907912894368,-1
scored,0.28422927186962543,-0.0048011972301977845,0.5212016043415595,-1,-1,0.35756513424659997,-1,0.33634074013997184,-1,-1,0.5248048036222993,-1,-1,0.025482633222715267,0.4015156792431507,-1,-1,-1,0.30265538796387204,-1,-1,0.3836019998379505,-1,0.3239267086777191,-1,0.37328932052863584,-1,0.30851107406030054,0.4201087205829721,-1,-1,0.4504761540558573,0.31905858809034193,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
superb,0.21346963288902976,0.0028122589659271835,0.4137626247581516,-1,-1,0.2956494074248681,-1,0.29038960688805826,-1,-1,0.4768147936620184,-1,-1,0.05289861560631792,0.31409589843255836,-1,-1,-1,0.20059489895787785,-1,-1,0.1827540808750402,-1,0.3799982584988594,-1,0.3311130532551154,-1,0.34707747849180903,0.42040000543436884,-1,-1,0.6827864123116466,0.5364089976193168,-1
hat-trick,0.21656251209418975,-0.021799008936599806,0.3912668697357432,-1,-1,0.23843789686363026,-1,0.21332374443813085,-1,-1,0.4375997367217812,-1,-1,0.16784347512737496,0.34609801271243756,-1,-1,-1,0.13850677518626509,-1,-1,0.27025875751548933,-1,0.450983564538022,-1,0.5928723440380728,-1,0.46632313771938905,0.49768215824034123,-1,-1,0.42987891645921184,0.33182633417750096,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dover,0.350576191201149,-0.2579059019472729,0.16852464084635288,-1,-1,0.08792287709646573,-1,0.14251252976975037,-1,-1,0.2335809113023677,-1,-1,-0.09804351415170465,0.11998275647042012,-1,-1,-1,0.018134158687855173,-1,-1,0.4885063506277143,-1,0.11971418392089828,-1,0.08244773992851129,-1,0.06920588238954362,0.23559619209029925,-1,-1,0.09066926165593336,0.034724175038616245,-1
made,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.3628780541108323,-0.03652334769887977,0.5449146267004158,-1,-1,0.5051909754037122,-1,0.4132040697091366,-1,-1,0.5358925954685942,-1,-1,-0.05200352837165911,0.3675056598208103,-1,-1,-1,0.48404368872593995,-1,-1,0.24362001867925176,-1,0.4522417816720228,-1,0.33029550944550745,-1,0.35833045526106,0.447262482746148,-1,-1,0.4648958697768921,0.3751354538915619,-1
wins,0.39491819542201334,0.01811867819451929,0.35095545726836574,-1,-1,0.1630499321457619,-1,0.29205489352407976,-1,-1,0.34666919705025656,-1,-1,-0.14807790018926914,0.258747554236083,-1,-1,-1,0.2714477547082681,-1,-1,0.33602158399680326,-1,0.26703661744521434,-1,0.18366596961927528,-1,0.32874395234561016,0.4822813987029744,-1,-1,0.47761208689122103,0.22259789243743033,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bounce,-0.024046436188728704,-0.04560908513346873,0.4333569830103754,-1,-1,0.2492726873794744,-1,0.23337284381774515,-1,-1,0.4270100481267449,-1,-1,0.1770040901735328,0.3112218986522366,-1,-1,-1,0.29619446784603365,-1,-1,0.1280033664427378,-1,0.25326236023590876,-1,0.17139588457792398,-1,0.3431663992435364,0.2146102263427503,-1,-1,0.4046400135385597,0.2569110056412536,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
thrilling,0.01932750533860783,-0.01531288577561396,0.39180679110796146,-1,-1,0.13732187705828824,-1,0.3620835573538803,-1,-1,0.2373834800775967,-1,-1,0.28468388435827485,0.369687244877123,-1,-1,-1,0.142903279033883,-1,-1,0.02676243255044275,-1,0.4696700229729618,-1,0.4983554271618962,-1,0.5815685501099616,0.7172231550251716,-1,-1,0.3992523903470878,0.2595172612965616,-1
victory,0.2229536324194994,-0.009749610576408996,0.4731193188977526,-1,-1,0.2607926188601142,-1,0.4699930034664339,-1,-1,0.4563093624567467,-1,-1,0.03988163850156334,0.3099517577891442,-1,-1,-1,0.29693049489020806,-1,-1,0.20184027589904185,-1,0.49966075068038407,-1,0.4436403964689639,-1,0.700653694786441,1.0,-1,-1,0.4124485145238268,0.3709617707237183,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
national,0.3387686322752754,0.003731554877328569,0.26747739664979586,-1,-1,0.14103966084242436,-1,0.23947848631384017,-1,-1,0.2507774684412374,-1,-1,-0.1360458150211945,0.1419685803762526,-1,-1,-1,0.24002004127836796,-1,-1,0.16508050935558383,-1,0.31333594855625924,-1,0.1421976046450314,-1,0.14786213190153563,0.2994748644323795,-1,-1,0.2518932932286275,0.2655053981303206,-1
league,0.2710530162300825,-0.0019137531211554926,0.45454185435679006,-1,-1,0.2427222177467354,-1,0.42399438105854437,-1,-1,0.3543795920891315,-1,-1,-0.04936137900469828,0.2771169438008758,-1,-1,-1,0.372323711554601,-1,-1,0.12325159482203074,-1,0.3748824938977504,-1,0.4802712887722367,-1,0.49946714826406624,0.5795587825481401,-1,-1,0.3384504678865634,0.22411361026472298,-1
leaders,0.4054518536845355,-0.02339416420317919,0.3841179479144772,-1,-1,0.2917229466579394,-1,0.4703990030996483,-1,-1,0.37832249333094414,-1,-1,-0.22251128447220325,0.09349878799922096,-1,-1,-1,0.37594132216202114,-1,-1,0.16553715609363162,-1,0.2862617604398323,-1,0.2032123906632053,-1,0.2776482064275334,0.4127909610791538,-1,-1,0.1572799709295949,0.20358902543490187,-1
forest,0.5311586383554323,0.006828413554506252,0.40473554666682265,-1,-1,0.1858770958185788,-1,0.340061016135372,-1,-1,0.32132356185658484,-1,-1,-0.23165301941862082,0.15447705647795096,-1,-1,-1,0.2843329057453061,-1,-1,0.4330651572906177,-1,0.1983976034749293,-1,0.09504125330587776,-1,0.1951755101299637,0.42058804217456136,-1,-1,0.30659783107957483,0.16200899676194647,-1
green,0.5948213948367626,-0.02276319505405411,0.42037240230845896,-1,-1,0.20039256295231,-1,0.3533714487192554,-1,-1,0.34457203934275504,-1,-1,-0.2891948150547017,0.15125172166135825,-1,-1,-1,0.3714910960330373,-1,-1,0.6058079537470237,-1,0.2453438249976705,-1,0.014455805671705124,-1,0.14828971056499518,0.3436706854306508,-1,-1,0.3993242816430522,0.2101846288048682,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
