model,ricky,miller,-lrb-,dover,athletic,-rrb-,.
ricky,1.0,0.6553121234490649,-1,0.537069268771844,0.4023153476175738,-1,-1
miller,0.6553121234490649,1.0,-1,0.4885063506277143,0.3758830411746438,-1,-1
scored,0.15169262935119332,0.3836019998379505,-1,0.2861863454253436,0.27225089756723286,-1,-1
a,-1,-1,-1,-1,-1,-1,-1
superb,0.15141173685688936,0.1827540808750402,-1,0.07389746425056953,0.1423995958374733,-1,-1
hat-trick,0.14078687308769378,0.27025875751548933,-1,0.21324806914760408,0.20117668046581438,-1,-1
as,-1,-1,-1,-1,-1,-1,-1
dover,0.537069268771844,0.4885063506277143,-1,1.0,0.8529382578673381,-1,-1
made,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1
two,0.07555243893543429,0.24362001867925176,-1,0.14767515750406957,0.18737805315072564,-1,-1
wins,0.1843182869153558,0.33602158399680326,-1,0.6011382594232453,0.7402733606703219,-1,-1
on,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1
bounce,0.08694259618693911,0.1280033664427378,-1,0.11612413382623044,0.06940203462015426,-1,-1
with,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1
thrilling,0.030364810686594246,0.02676243255044275,-1,0.10714969350148174,0.1098655694182421,-1,-1
victory,0.09351840398042854,0.20184027589904185,-1,0.23559619209029925,0.24640400301355725,-1,-1
over,-1,-1,-1,-1,-1,-1,-1
national,0.02348072226543696,0.16508050935558383,-1,0.19878050208495313,0.28462178020420703,-1,-1
league,-0.005618346140239483,0.12325159482203074,-1,0.29708570400993284,0.4109924913457905,-1,-1
leaders,-0.04039055041431139,0.16553715609363162,-1,0.17336505408871428,0.21272000201298524,-1,-1
forest,0.34310517229243,0.4330651572906177,-1,0.6736060464335427,0.7341629189457309,-1,-1
green,0.40314494854424776,0.6058079537470237,-1,0.5080605642886042,0.5341790567589545,-1,-1
.,-1,-1,-1,-1,-1,-1,-1
