model,christian,doidge,-lrb-,forest,green,rovers,-rrb-,.
ricky,0.38075461167449176,-0.5421241992790833,-1,0.34310517229243,0.40314494854424776,0.10582856498568494,-1,-1
miller,0.28838222408079983,-0.19026175742949802,-1,0.4330651572906177,0.6058079537470237,0.23454158443609174,-1,-1
scored,0.28422927186962543,-0.0048011972301977845,-1,0.35400336721561476,0.3310216029467449,0.36361348011967665,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1
superb,0.21346963288902976,0.0028122589659271835,-1,0.14784653837775874,0.19360748051895937,0.1390793800805077,-1,-1
hat-trick,0.21656251209418975,-0.021799008936599806,-1,0.24892183919993238,0.17712651778627464,0.24262884632986437,-1,-1
as,-1,-1,-1,-1,-1,-1,-1,-1
dover,0.350576191201149,-0.2579059019472729,-1,0.6736060464335427,0.5080605642886042,0.5924508066486964,-1,-1
made,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1
two,0.3628780541108323,-0.03652334769887977,-1,0.41791851542884506,0.41338993220989273,0.3049412058066163,-1,-1
wins,0.39491819542201334,0.01811867819451929,-1,0.7451097679808052,0.6194968846491464,0.7807765040027451,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1
bounce,-0.024046436188728704,-0.04560908513346873,-1,0.13261901913412555,0.16191444109389208,0.08227918514373844,-1,-1
with,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1
thrilling,0.01932750533860783,-0.01531288577561396,-1,0.19995215383722986,0.09698797735008502,0.1476585519249769,-1,-1
victory,0.2229536324194994,-0.009749610576408996,-1,0.42058804217456136,0.3436706854306508,0.35638960673129083,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1
national,0.3387686322752754,0.003731554877328569,-1,0.4189501092623382,0.44804188945890044,0.27094415201741096,-1,-1
league,0.2710530162300825,-0.0019137531211554926,-1,0.5799638824710401,0.40608101974251287,0.49905660953115927,-1,-1
leaders,0.4054518536845355,-0.02339416420317919,-1,0.4609565794342234,0.46830886674538497,0.36706163211429155,-1,-1
forest,0.5311586383554323,0.006828413554506252,-1,1.0,0.8026768370063821,0.8045231234682092,-1,-1
green,0.5948213948367626,-0.02276319505405411,-1,0.8026768370063821,1.0,0.6029221648244867,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1
