model,elliott,frear,replaces,drissa,traoré,.
ricky,0.08208333322435601,-0.06895724817781268,0.3766494727860974,-0.31654971978973556,-0.6597432809809534,-1
miller,0.05687001520931667,-0.24481044508566674,0.4783373447591075,-0.18540699981507047,-0.34715807427733214,-1
scored,0.23392156192420566,-0.09015093338508406,0.28438375206152244,-0.18423341348574374,0.006178226931298325,-1
a,-1,-1,-1,-1,-1,-1
superb,0.08917691336633782,-0.1011211496298241,0.10028627681816404,-0.3181626933163195,-0.08076095824057616,-1
hat-trick,0.14654151443161223,-0.06624258673450734,0.0767060647621779,-0.22998994805250272,-0.020247737309047498,-1
as,-1,-1,-1,-1,-1,-1
dover,0.38173644968514675,0.23143514762896122,0.4525281758769135,0.19502274430126165,-0.04278260439696324,-1
made,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1
two,0.12925624909678013,-0.24689431890402802,0.0013216396146799037,-0.40597617792126517,-0.11797684413649634,-1
wins,0.1821999694615808,-0.10506360374459,0.4495561916163986,-0.03220370734032785,0.015993168571831085,-1
on,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1
bounce,-0.01288616468224224,-0.16698915181383645,-0.022946483644750826,-0.2106197055334098,-0.07655092335043157,-1
with,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1
thrilling,0.015403394017643679,-0.11529709190637427,-0.11541004024373147,-0.23292068012519884,-0.04910266774980587,-1
victory,0.11640396511229467,-0.16842836352217283,0.03062552089510584,-0.2632767602418089,-0.071209644530833,-1
over,-1,-1,-1,-1,-1,-1
national,0.14444168719840478,-0.15044612876779317,0.04262196220165926,-0.19384100210664612,-0.02016349389823935,-1
league,0.07489826521921095,-0.24030108210832601,-0.04869205374288077,-0.2346200710034445,-0.0490849177631405,-1
leaders,0.14649540325026156,-0.1633898292131999,-0.09494147947857434,-0.16850445722516927,-0.0009733328836742938,-1
forest,0.19082939075147742,-0.13455445208812145,0.3829053639643627,-0.10885023849706643,-0.1074813581702323,-1
green,0.2582416967775325,-0.15609351127522975,0.4198466767183582,-0.15822166833482787,-0.12966360924139586,-1
.,-1,-1,-1,-1,-1,-1
