model,``,i,met,martin,as,normal,at,stormont,on,monday,.
deputy,-1,-1,0.6320522508890712,0.6613555638469605,-1,0.10393699671767909,-1,0.6499637297799853,-1,0.3847475847450408,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
minister,-1,-1,0.6174258208813371,0.5994590913517094,-1,0.11510611928297543,-1,0.5725774192638597,-1,0.39757258191711253,-1
martin,-1,-1,0.5971392892583501,1.0,-1,0.1307566856779523,-1,0.5063932382293789,-1,0.4024182172140027,-1
mcguinness,-1,-1,0.5844276530572564,0.8357927829216921,-1,0.031575552943169494,-1,0.4672021355185356,-1,0.3655993234409629,-1
pulled,-1,-1,0.5526447348369562,0.39796029280414125,-1,0.2754487336235225,-1,0.2393899674232256,-1,0.38686559855413116,-1
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trip,-1,-1,0.43005229759545405,0.20589165880619542,-1,0.36778596824824916,-1,0.3490478119547811,-1,0.5638529485644717,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
china,-1,-1,0.45341214552324605,0.2493502823450895,-1,0.28812601711450647,-1,0.4746683749849063,-1,0.4659627813929397,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,-1,0.7000367188679403,0.4166763719753238,-1,0.4839725392943841,-1,0.5480264414222402,-1,0.7434246524385161,-1
due,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
medical,-1,-1,0.4466146533734676,0.22077293499506767,-1,0.35484155635597114,-1,0.4128367097204628,-1,0.2967163309696955,-1
advice,-1,-1,0.46227671088783384,0.21056422442421674,-1,0.31972139060879223,-1,0.3098109375269844,-1,0.32290203715627874,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
revealed,-1,-1,0.7013255153625243,0.4531508319776908,-1,0.3273280101208087,-1,0.4534220873718575,-1,0.6477961539393576,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
