model,the,executive,office,said,the,move,was,made,``,to,enable,doctors,to,conduct,a,medical,assessment,'',.
deputy,-1,0.7431271504720282,0.633214228687049,-1,-1,0.36407360630644736,-1,-1,-1,-1,0.1483637883626182,0.3474761455655624,-1,0.18672971614438172,-1,0.35688512869696876,0.18528853210041984,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
minister,-1,0.6460904809292708,0.6369391490815274,-1,-1,0.43524024777638237,-1,-1,-1,-1,0.19927484360991976,0.3401873837789262,-1,0.23594890925002243,-1,0.31324512054628406,0.18416159894524053,-1,-1
martin,-1,0.7563175231389299,0.4059317062150598,-1,-1,0.3803662333603719,-1,-1,-1,-1,0.09999628650411396,0.3018096346681115,-1,0.2828986535882282,-1,0.22077293499506767,0.20946711006979546,-1,-1
mcguinness,-1,0.627195123654716,0.40445953166744,-1,-1,0.2723865417403959,-1,-1,-1,-1,0.0875552032082213,0.3176536957534253,-1,0.23163263583595683,-1,0.1233325833953165,0.17591448636080353,-1,-1
pulled,-1,0.3059237254188334,0.36918375134138637,-1,-1,0.5594682288684275,-1,-1,-1,-1,0.1633201134171488,0.30170687402511764,-1,0.2584281055566592,-1,0.18147944221835555,0.22873789963795021,-1,-1
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trip,-1,0.13322749836945325,0.4427916889074546,-1,-1,0.5895975625201375,-1,-1,-1,-1,0.27317398508822477,0.22816491425914165,-1,0.2430163458787138,-1,0.27838940063829754,0.2113734456243369,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
china,-1,0.2944148134411946,0.430626279733187,-1,-1,0.5653017469795875,-1,-1,-1,-1,0.30184676311380754,0.19721963716511492,-1,0.27749353262028986,-1,0.19655060545735759,0.22828326914534336,-1,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,0.4629184988775106,0.6138294697390762,-1,-1,0.7089559041036644,-1,-1,-1,-1,0.357021327967447,0.4492951667307915,-1,0.38514482187773313,-1,0.3798278047243906,0.36076431390429387,-1,-1
due,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
medical,-1,0.42392478326761696,0.5687623535489017,-1,-1,0.3513553681274024,-1,-1,-1,-1,0.35296512774400335,0.6088994508750362,-1,0.5035431019015959,-1,1.0,0.5277038969036794,-1,-1
advice,-1,0.3929296679556008,0.505098029072719,-1,-1,0.4589003749664048,-1,-1,-1,-1,0.4620156484906087,0.5246224184345797,-1,0.47816234588184636,-1,0.7345292229473851,0.49362422475657197,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
revealed,-1,0.4823859467128313,0.6284848000937786,-1,-1,0.5477893804954062,-1,-1,-1,-1,0.3304007505225257,0.4427993355062606,-1,0.4925498412070677,-1,0.5186390131803533,0.528261957728065,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
