model,i,have,been,in,regular,contact,with,him,since,and,he,is,totally,committed,to,fulfilling,his,duties,.
deputy,-1,-1,-1,-1,0.19992541061841496,0.19964018547432327,-1,-1,-1,-1,-1,-1,0.017544304566735613,0.22561394425154446,-1,0.0024451930131822452,-1,0.18498342872120088,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
minister,-1,-1,-1,-1,0.14831350489759232,0.256122792870738,-1,-1,-1,-1,-1,-1,0.09591949282503198,0.31816134937773444,-1,-0.042265306339819064,-1,0.08120194276854364,-1
martin,-1,-1,-1,-1,0.10676015205571288,0.23449956617236523,-1,-1,-1,-1,-1,-1,0.17877490191929146,0.1690194691171476,-1,-0.10989640332581319,-1,0.04156116520283615,-1
mcguinness,-1,-1,-1,-1,0.08468076691170756,0.15796326385173365,-1,-1,-1,-1,-1,-1,0.08540805899353221,0.15332877175723436,-1,-0.04530539848219073,-1,0.033640868071536656,-1
pulled,-1,-1,-1,-1,0.26105598105986183,0.3290990842971142,-1,-1,-1,-1,-1,-1,0.3143114334554604,0.19933340293842072,-1,0.12925473995672654,-1,0.3114327691009834,-1
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trip,-1,-1,-1,-1,0.35976354938993915,0.2896617064905047,-1,-1,-1,-1,-1,-1,0.10168534354352421,0.13155470164510152,-1,0.17544121229551668,-1,0.38296759764828314,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
china,-1,-1,-1,-1,0.12539608388662526,0.27354160770200386,-1,-1,-1,-1,-1,-1,0.1403985331170745,0.16589047382903,-1,0.07864659304527333,-1,0.11280917428840831,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,-1,-1,-1,0.33506650748426325,0.34007092359465263,-1,-1,-1,-1,-1,-1,0.24266029222358532,0.2728238351571737,-1,0.051980172834641625,-1,0.29915012890302983,-1
due,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
medical,-1,-1,-1,-1,0.37039392560441287,0.36801270059818325,-1,-1,-1,-1,-1,-1,0.10574291353443288,0.26152084345372884,-1,0.028511682818795125,-1,0.396136745323838,-1
advice,-1,-1,-1,-1,0.4046640600078202,0.5078330096609132,-1,-1,-1,-1,-1,-1,0.2058596669312862,0.22875166942738367,-1,0.22891859468217934,-1,0.47335310391365093,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
revealed,-1,-1,-1,-1,0.35970801728285473,0.39849457471457517,-1,-1,-1,-1,-1,-1,0.25619202070438785,0.3161855864721219,-1,0.16662071380914933,-1,0.3528020239419831,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
