model,``,there,has,been,no,disruption,to,the,work,of,the,executive,office,during,this,period,'',added,the,spokesperson,.
deputy,-1,-1,-1,-1,0.2566726802227285,0.05964213109981187,-1,-1,-1,-1,-1,0.7431271504720282,0.633214228687049,-1,-1,0.15669085473238797,-1,0.5167902056667922,-1,0.5325588450463338,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
minister,-1,-1,-1,-1,0.24479584227637763,0.1471829617483441,-1,-1,-1,-1,-1,0.6460904809292708,0.6369391490815274,-1,-1,0.2059401643497496,-1,0.49421995123615536,-1,0.45842824485302835,-1
martin,-1,-1,-1,-1,0.18121806868266876,0.08002562699392857,-1,-1,-1,-1,-1,0.7563175231389299,0.4059317062150598,-1,-1,0.16384153047384065,-1,0.6057712239484456,-1,0.4477710897078315,-1
mcguinness,-1,-1,-1,-1,0.12653694843057472,0.09453526077006769,-1,-1,-1,-1,-1,0.627195123654716,0.40445953166744,-1,-1,0.1053130070580135,-1,0.5086986803908757,-1,0.41902456797538656,-1
pulled,-1,-1,-1,-1,0.32287696309926006,0.13980840187003862,-1,-1,-1,-1,-1,0.3059237254188334,0.36918375134138637,-1,-1,0.2774479677487971,-1,0.4496455403677808,-1,0.15274543396290508,-1
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trip,-1,-1,-1,-1,0.26510532425159394,0.36114155129972136,-1,-1,-1,-1,-1,0.13322749836945325,0.4427916889074546,-1,-1,0.454616719166413,-1,0.2648796084529159,-1,0.13101835442779275,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
china,-1,-1,-1,-1,0.2602469931104161,0.23796907122881417,-1,-1,-1,-1,-1,0.2944148134411946,0.430626279733187,-1,-1,0.21560124095143307,-1,0.35268884064724115,-1,0.21742033680586503,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,-1,-1,-1,0.3954041341728941,0.3203011327006584,-1,-1,-1,-1,-1,0.4629184988775106,0.6138294697390762,-1,-1,0.5164272756114519,-1,0.5329088265259109,-1,0.36078439481768865,-1
due,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
medical,-1,-1,-1,-1,0.43830906435596906,0.25259179052757164,-1,-1,-1,-1,-1,0.42392478326761696,0.5687623535489017,-1,-1,0.19323462397673863,-1,0.43121597876537865,-1,0.46107422115195096,-1
advice,-1,-1,-1,-1,0.4446695392555575,0.25408444371592065,-1,-1,-1,-1,-1,0.3929296679556008,0.505098029072719,-1,-1,0.28366704507251317,-1,0.44245814338403855,-1,0.39351093207665255,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
revealed,-1,-1,-1,-1,0.48881234922809247,0.26013963609578084,-1,-1,-1,-1,-1,0.4823859467128313,0.6284848000937786,-1,-1,0.38118024047022403,-1,0.6027122473124044,-1,0.4391647288315864,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
