model,mr,mcguinness,was,due,to,join,the,first,minister,on,the,trade,mission,.
deputy,0.35191854849814175,0.732887300687593,-1,-1,-1,0.33828451758769496,-1,-1,0.7817247682582449,-1,-1,0.19646379827425964,0.39967412567450245,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
minister,0.3852836985816971,0.6656265363831684,-1,-1,-1,0.26920255312162444,-1,-1,1.0,-1,-1,0.3482304890923964,0.3330757649501891,-1
martin,0.4805711644963371,0.8357927829216921,-1,-1,-1,0.3544851743946271,-1,-1,0.5994590913517094,-1,-1,0.1855630931162845,0.36725043090610643,-1
mcguinness,0.5759555757011698,1.0,-1,-1,-1,0.2643232488878313,-1,-1,0.6656265363831684,-1,-1,0.10540655394031961,0.365653378310816,-1
pulled,0.31268224813940837,0.32566936816498226,-1,-1,-1,0.3630821874836081,-1,-1,0.2740244154614765,-1,-1,0.13870287061862707,0.3336020771510171,-1
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trip,0.3058079518634387,0.22294093758697087,-1,-1,-1,0.4519496213656695,-1,-1,0.3037914772358006,-1,-1,0.30872632907551745,0.5041416626105053,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
china,0.3589834139228052,0.27586911349137466,-1,-1,-1,0.36182939103529554,-1,-1,0.357942448073433,-1,-1,0.527348343251189,0.4833462535232498,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,0.3871570218013607,0.3637167848584424,-1,-1,-1,0.493778305577818,-1,-1,0.47829859018518506,-1,-1,0.31789022430880376,0.5413005176602241,-1
due,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
medical,0.18678602902067254,0.1233325833953165,-1,-1,-1,0.26743887832619784,-1,-1,0.31324512054628406,-1,-1,0.34343034196122535,0.5253522598433831,-1
advice,0.21598460260765062,0.10569230166613863,-1,-1,-1,0.37137306919694824,-1,-1,0.32627963786482095,-1,-1,0.3778255207585548,0.47611088850781913,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
revealed,0.44372207641518746,0.41243291522308145,-1,-1,-1,0.35081880907341045,-1,-1,0.4188274276487004,-1,-1,0.24048933759677882,0.5002381497663884,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
